No of indents,Hardness (GPa),Reduced Young Modulus (GPa),Young Modulus (GPa),Stiffness (uN/nm
102,2.83712052610114,373.513234141315,504.326519950342,829.869751996524
103,2.22954621004497,331.923903452702,425.264646427578,831.904276073293
104,2.94907970396306,351.486914734984,461.42268324021,765.962116404059
105,2.80591972494498,233.879044356355,267.425278909571,522.513161672609
106,2.85768455788993,113.114911188487,114.211518813872,250.412491690126
107,3.48336394472447,98.6981914346202,98.2827181825961,197.903349625519
108,2.98114914995203,47.6903422577135,45.2832937860044,103.366734388824
109,3.08871498514768,306.545609449448,380.870654866647,652.75302337735
110,2.78247197169259,309.934894420948,386.643492415458,695.342057909202
111,2.10243394908384,282.306902767092,340.907025929736,728.620175720182
112,2.6955504537986,329.604723273459,421.093086054032,751.298602885695
113,2.64893030358376,309.480432654084,385.866708354401,711.608402400038
114,2.67046095933929,241.152495655197,277.959440041834,552.257636581762
115,2.8568656756537,120.907632413264,123.008184511698,267.70194239606
116,2.38420686096896,89.8099267919303,88.6789882973946,217.668346268541
117,3.35577757752349,56.5826824967047,54.1655151771008,115.592473168268
118,2.8136096938856,281.669131696567,339.885777000433,628.42275318181
119,2.77795249769998,283.674285432121,343.101679655726,636.94177564372
120,2.32147589025295,314.962345152935,395.293321025672,773.603537249394
121,2.68139775896043,292.313006654408,357.129443922498,668.052967587488
122,2.86207816310636,317.650543376823,399.961519861104,702.67019944648
123,2.83441404334838,255.190716895803,298.777660742436,567.252340439505
124,2.91649763527384,112.053513392716,113.023644027087,245.548457804534
125,3.1526993329383,95.404392843886,94.7048251997479,201.080389431947
126,6.28878710842984,68.3513450562056,66.146242268499,102.001619968654
127,2.79941633980008,267.845431147085,318.114876262788,599.091765506964
128,2.57003928220979,275.140573056948,329.517803005922,642.284689227434
129,2.49081013863258,296.616972563954,364.224871119996,703.345786899479
130,2.63501003414774,289.150463835899,351.961194918095,666.615523439222
131,2.78756308253453,293.138978710152,358.485568498245,657.059647417792
132,3.10701069220692,323.550930074514,410.314904054708,686.934550896999
133,3.49178799899855,98.7245337466966,98.3114233018201,197.717073413516
134,3.24931617521734,94.4798464003418,93.704565782685,196.148941217395
135,6.82758015320498,57.0152178190352,54.6012591637992,81.6580755017808
136,3.16380266282476,277.02403236751,332.492920018379,582.848928891655
137,3.72313349146793,299.896153624976,369.679332622961,581.646196076279
138,3.28677988458426,244.762182010036,283.250517738568,505.244529675917
139,3.56407909990496,238.820950864151,274.56425374357,473.415119030683
140,3.07752762427319,329.251016573405,420.458949111523,702.373504478175
