Tue Nov 22 17:36:22 2022

Number of Points = 4300
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	0.076012	0.000000	0.000053	0.456255

-0.027335	0.015609	0.009997	0.000058	0.456021
-0.010501	-0.074700	0.019994	0.000055	0.455743
0.160782	-0.217290	0.029990	0.000022	0.455485
0.072860	-0.259765	0.039987	0.000039	0.455234
0.166455	-0.368264	0.049984	0.000021	0.454992
-0.057859	-0.355608	0.059981	0.000063	0.454753
-0.017396	-0.451692	0.069978	0.000056	0.454485
-0.151206	-0.485680	0.079974	0.000081	0.454204
-0.094456	-0.582161	0.089971	0.000070	0.453955
-0.074701	-0.661129	0.099968	0.000066	0.453717
-0.136864	-0.708613	0.109965	0.000078	0.453481
-0.014602	-0.826729	0.119962	0.000055	0.453241
-0.096586	-0.873576	0.129958	0.000070	0.452982
-0.230987	-0.899591	0.139955	0.000096	0.452727
-0.133543	-1.009854	0.149952	0.000077	0.452482
-0.077126	-1.104171	0.159949	0.000067	0.452238
-0.080150	-1.176604	0.169946	0.000067	0.451992
-0.104660	-1.251643	0.179942	0.000072	0.451711
-0.142880	-1.320990	0.189939	0.000079	0.451431
-0.203782	-1.369514	0.199936	0.000090	0.451192
-0.221216	-1.435164	0.209933	0.000094	0.450950
-0.186461	-1.520599	0.219930	0.000087	0.450708
-0.174640	-1.597811	0.229926	0.000085	0.450465
-0.280174	-1.652913	0.239923	0.000105	0.450147
-0.232249	-1.742593	0.249920	0.000096	0.449907
-0.185987	-1.832771	0.259917	0.000087	0.449663
-0.309307	-1.859343	0.269914	0.000110	0.449417
-0.297908	-1.934968	0.279910	0.000108	0.449178
-0.342988	-2.006877	0.289907	0.000116	0.448879
-0.339615	-2.085434	0.299904	0.000116	0.448619
-0.562072	-2.073967	0.309901	0.000157	0.448375
-0.480454	-2.169827	0.319898	0.000142	0.448156
-0.789237	-2.115853	0.329894	0.000200	0.447946
-0.863731	-2.165782	0.339891	0.000214	0.447683
-1.340181	-2.077207	0.349888	0.000303	0.447375
-1.592478	-2.056060	0.359885	0.000350	0.447126
-1.745753	-2.070766	0.369882	0.000379	0.446881
-2.103541	-2.008671	0.379878	0.000446	0.446635
-2.326970	-1.999997	0.389875	0.000488	0.446379
-2.431223	-2.039981	0.399872	0.000508	0.446111
-2.583947	-2.067053	0.409869	0.000536	0.445825
-2.629293	-2.118810	0.419866	0.000545	0.445591
-2.998620	-2.053334	0.429862	0.000614	0.445341
-2.886373	-2.171010	0.439859	0.000593	0.445086
-3.063330	-2.177321	0.449856	0.000626	0.444838
-3.296711	-2.174368	0.459853	0.000670	0.444549
-3.387708	-2.219404	0.469850	0.000687	0.444280
-3.568639	-2.225609	0.479846	0.000721	0.444027
-3.862993	-2.187838	0.489843	0.000776	0.443778
-4.066016	-2.183398	0.499840	0.000814	0.443533
-4.346001	-2.149634	0.509837	0.000866	0.443288
-4.506519	-2.162500	0.519834	0.000896	0.443038
-4.733009	-2.161165	0.529830	0.000939	0.442751
-5.056992	-2.112631	0.539827	0.001000	0.442500
-5.107295	-2.167627	0.549824	0.001009	0.442248
-5.188552	-2.209691	0.559821	0.001024	0.442000
-5.394862	-2.204574	0.569818	0.001063	0.441751
-5.445752	-2.275730	0.579814	0.001072	0.441442
-5.465269	-2.345219	0.589811	0.001076	0.441180
-5.655964	-2.346267	0.599808	0.001112	0.440930
-5.828557	-2.353247	0.609805	0.001144	0.440683
-5.815598	-2.431141	0.619802	0.001142	0.440433
-6.024765	-2.428111	0.629798	0.001181	0.440173
-5.970720	-2.531829	0.639795	0.001171	0.439887
-6.204553	-2.524413	0.649792	0.001215	0.439610
-6.588203	-2.451313	0.659789	0.001286	0.439364
-6.717109	-2.476241	0.669786	0.001311	0.439111
-6.985585	-2.449912	0.679782	0.001361	0.438853
-7.030515	-2.504268	0.689779	0.001369	0.438608
-7.439403	-2.430014	0.699776	0.001446	0.438333
-7.668602	-2.411163	0.709773	0.001489	0.438100
-7.834700	-2.424290	0.719770	0.001520	0.437839
-7.749257	-2.532156	0.729766	0.001504	0.437578
-7.928891	-2.538694	0.739763	0.001538	0.437321
-7.742542	-2.682223	0.749760	0.001503	0.437069
-8.322497	-2.539146	0.759757	0.001611	0.436807
-8.205193	-2.674205	0.769754	0.001589	0.436493
-8.613811	-2.593139	0.779750	0.001666	0.436240
-8.425548	-2.737063	0.789747	0.001631	0.435988
-8.841035	-2.651404	0.799744	0.001709	0.435742
-8.769290	-2.751375	0.809741	0.001695	0.435489
-9.354207	-2.609710	0.819738	0.001805	0.435215
-9.320390	-2.706967	0.829734	0.001798	0.434922
-9.528588	-2.706620	0.839731	0.001837	0.434651
-9.688077	-2.719693	0.849728	0.001867	0.434396
-9.884948	-2.720324	0.859725	0.001904	0.434136
-10.287951	-2.643182	0.869722	0.001980	0.433875
-10.465626	-2.647769	0.879718	0.002013	0.433626
-10.410250	-2.743203	0.889715	0.002003	0.433367
-10.623744	-2.735993	0.899712	0.002043	0.433111
-10.522316	-2.853907	0.909709	0.002024	0.432834
