Tue Nov 22 15:58:19 2022

Number of Points = 4300
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	0.038694	0.000000	0.000053	0.454826

-0.155025	0.024580	0.009997	0.000082	0.454585
-0.017966	-0.098369	0.019994	0.000056	0.454348
-0.141885	-0.122834	0.029990	0.000080	0.454111
-0.132252	-0.200963	0.039987	0.000078	0.453863
-0.120022	-0.296993	0.049984	0.000076	0.453558
-0.253250	-0.316145	0.059981	0.000101	0.453326
-0.182465	-0.408759	0.069978	0.000088	0.453106
-0.331633	-0.419582	0.079974	0.000116	0.452882
-0.393488	-0.472279	0.089971	0.000127	0.452629
-0.269890	-0.605710	0.099968	0.000104	0.452338
-0.257851	-0.690032	0.109965	0.000102	0.452072
-0.304871	-0.744098	0.119962	0.000111	0.451831
-0.299279	-0.819756	0.129958	0.000110	0.451585
-0.418366	-0.849166	0.139955	0.000132	0.451336
-0.221516	-0.998826	0.149952	0.000095	0.451083
-0.258863	-1.073371	0.159949	0.000102	0.450786
-0.367347	-1.101882	0.169946	0.000123	0.450553
-0.435722	-1.150738	0.179942	0.000136	0.450302
-0.448826	-1.219350	0.189939	0.000138	0.450055
-0.514875	-1.265929	0.199936	0.000151	0.449815
-0.275919	-1.445135	0.209933	0.000106	0.449516
-0.287136	-1.515922	0.219930	0.000108	0.449263
-0.394140	-1.550446	0.229926	0.000128	0.449011
-0.387433	-1.625078	0.239923	0.000127	0.448768
-0.467617	-1.665772	0.249920	0.000142	0.448529
-0.572553	-1.701961	0.259917	0.000162	0.448273
-0.499150	-1.800854	0.269914	0.000148	0.448033
-0.544030	-1.858627	0.279910	0.000157	0.447781
-0.470855	-1.960273	0.289907	0.000143	0.447531
-0.237632	-2.122096	0.299904	0.000099	0.447281
-0.357999	-2.152103	0.309901	0.000122	0.447026
-0.390982	-2.221047	0.319898	0.000128	0.446750
-0.379538	-2.310439	0.329894	0.000126	0.446462
-0.513785	-2.331666	0.339891	0.000151	0.446219
-0.366297	-2.458260	0.349888	0.000124	0.445978
-0.455421	-2.496325	0.359885	0.000140	0.445735
-0.527898	-2.538695	0.369882	0.000154	0.445499
-0.523446	-2.634975	0.379878	0.000153	0.445177
-0.604179	-2.679851	0.389875	0.000168	0.444921
-0.761695	-2.693856	0.399872	0.000198	0.444672
-0.626281	-2.816673	0.409869	0.000173	0.444428
-0.526320	-2.926307	0.419866	0.000154	0.444183
-0.659971	-2.951637	0.429862	0.000179	0.443925
-0.612209	-3.058814	0.439859	0.000170	0.443621
-0.670044	-3.109597	0.449856	0.000181	0.443373
-0.769740	-3.137718	0.459853	0.000200	0.443149
-0.628163	-3.260290	0.469850	0.000173	0.442913
-0.920165	-3.226400	0.479846	0.000228	0.442653
-0.816839	-3.340758	0.489843	0.000209	0.442395
-0.846331	-3.421400	0.499840	0.000214	0.442081
-0.933805	-3.459789	0.509837	0.000231	0.441837
-1.050374	-3.490325	0.519834	0.000253	0.441582
-1.104023	-3.545194	0.529830	0.000263	0.441324
-0.950544	-3.674596	0.539827	0.000234	0.441079
-1.074138	-3.702582	0.549824	0.000257	0.440823
-1.285982	-3.707064	0.559821	0.000297	0.440534
-1.580120	-3.673204	0.569818	0.000352	0.440269
-2.123139	-3.542959	0.579814	0.000454	0.440013
-2.356404	-3.528102	0.589811	0.000498	0.439761
-2.501888	-3.545989	0.599808	0.000525	0.439511
-2.732251	-3.531994	0.609805	0.000569	0.439260
-2.847159	-3.580198	0.619802	0.000590	0.438945
-3.059380	-3.572873	0.629798	0.000630	0.438694
-3.272027	-3.564368	0.639795	0.000670	0.438447
-3.395257	-3.581839	0.649792	0.000693	0.438226
-3.495309	-3.610287	0.659789	0.000712	0.437997
-3.531696	-3.675194	0.669786	0.000719	0.437726
-3.790094	-3.662017	0.679782	0.000768	0.437434
-3.988167	-3.668456	0.689779	0.000805	0.437154
-4.046782	-3.717480	0.699776	0.000816	0.436907
-4.259741	-3.713247	0.709773	0.000856	0.436644
-4.290209	-3.775966	0.719770	0.000862	0.436387
-4.624117	-3.722174	0.729766	0.000924	0.436136
-4.603281	-3.807972	0.739763	0.000920	0.435866
-5.047964	-3.722358	0.749760	0.001004	0.435581
-5.066715	-3.792827	0.759757	0.001007	0.435311
-5.361455	-3.755532	0.769754	0.001063	0.435055
-5.514741	-3.771988	0.779750	0.001092	0.434796
-5.636941	-3.798398	0.789747	0.001114	0.434544
-5.811002	-3.804985	0.799744	0.001147	0.434292
-5.865156	-3.873088	0.809741	0.001157	0.433984
-5.952010	-3.916465	0.819738	0.001174	0.433718
-6.167885	-3.907663	0.829734	0.001214	0.433465
-6.174918	-3.971128	0.839731	0.001216	0.433234
-6.571401	-3.890774	0.849728	0.001290	0.432992
-6.577447	-3.964923	0.859725	0.001291	0.432725
-6.791919	-3.960474	0.869722	0.001332	0.432458
-6.829598	-4.035153	0.879718	0.001339	0.432147
-6.907225	-4.078078	0.889715	0.001353	0.431894
-7.084890	-4.086575	0.899712	0.001387	0.431629
-7.327496	-4.070052	0.909709	0.001432	0.431366
-7.428871	-4.105524	0.919706	0.001451	0.431108
-7.667540	-4.087565	0.929702	0.001496	0.430855
-7.896820	-4.077447	0.939699	0.001539	0.430586
-8.134048	-4.076365	0.949696	0.001584	0.430276
-8.179290	-4.132461	0.959693	0.001592	0.430018
-8.531059	-4.073507	0.969690	0.001658	0.429759
-8.615538	-4.115397	0.979686	0.001674	0.429499
-8.915190	-4.076006	0.989683	0.001730	0.429239
-8.940980	-4.142547	0.999680	0.001735	0.428971
-9.264775	-4.096713	1.009677	0.001796	0.428701
-9.260291	-4.180928	1.019674	0.001795	0.428410
