Tue Nov 22 17:29:37 2022

Number of Points = 4300
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	0.132455	0.000000	0.000078	0.458437

0.144628	0.008527	0.009997	0.000051	0.458209
0.134792	-0.058137	0.019994	0.000052	0.457978
-0.028834	-0.081071	0.029990	0.000083	0.457699
0.077706	-0.193920	0.039987	0.000063	0.457460
0.098337	-0.274430	0.049984	0.000059	0.457220
-0.009601	-0.306499	0.059981	0.000079	0.456980
0.015402	-0.399048	0.069978	0.000074	0.456706
0.094928	-0.515531	0.079974	0.000060	0.456420
-0.073965	-0.522598	0.089971	0.000091	0.456187
-0.029928	-0.610022	0.099968	0.000083	0.455953
-0.012891	-0.688643	0.109965	0.000080	0.455714
0.149452	-0.826865	0.119962	0.000049	0.455459
0.050014	-0.880826	0.129958	0.000068	0.455156
-0.089022	-0.900696	0.139955	0.000094	0.454917
-0.142741	-0.952058	0.149952	0.000104	0.454680
-0.126759	-1.031113	0.159949	0.000101	0.454437
-0.128861	-1.104050	0.169946	0.000101	0.454193
0.036160	-1.262235	0.179942	0.000070	0.453874
-0.129530	-1.268998	0.189939	0.000101	0.453644
-0.144848	-1.334277	0.199936	0.000104	0.453408
-0.202330	-1.380277	0.209933	0.000114	0.453183
-0.536223	-1.316104	0.219930	0.000177	0.452978
-0.444215	-1.445689	0.229926	0.000160	0.452662
-0.178196	-1.622478	0.239923	0.000110	0.452407
-0.470099	-1.586244	0.249920	0.000164	0.452161
-0.607066	-1.606883	0.259917	0.000190	0.451920
-0.880332	-1.576346	0.269914	0.000241	0.451678
-1.055818	-1.594708	0.279910	0.000274	0.451396
-1.037928	-1.684213	0.289907	0.000270	0.451120
-1.496027	-1.583786	0.299904	0.000356	0.450878
-1.334803	-1.716603	0.309901	0.000326	0.450637
-2.006417	-1.534110	0.319898	0.000452	0.450400
-1.969134	-1.624784	0.329894	0.000445	0.450144
-2.123135	-1.657067	0.339891	0.000474	0.449841
-2.202875	-1.702298	0.349888	0.000489	0.449589
-2.390116	-1.704547	0.359885	0.000524	0.449344
-2.630538	-1.685964	0.369882	0.000569	0.449102
-2.918494	-1.651167	0.379878	0.000623	0.448855
-2.833326	-1.761146	0.389875	0.000606	0.448593
-2.982175	-1.788727	0.399872	0.000634	0.448312
-2.928109	-1.868432	0.409869	0.000624	0.448112
-3.184279	-1.843432	0.419866	0.000672	0.447871
-3.295654	-1.877139	0.429862	0.000693	0.447616
-3.710307	-1.795276	0.439859	0.000771	0.447365
-3.891246	-1.815469	0.449856	0.000804	0.447067
-4.088048	-1.817614	0.459853	0.000841	0.446810
-3.921284	-1.955256	0.469850	0.000810	0.446557
