Tue Nov 22 17:11:42 2022

Number of Points = 4300
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	-0.139992	0.000000	-0.000032	0.459191

-0.284201	-0.106748	0.009997	0.000021	0.458948
-0.010665	-0.281008	0.019994	-0.000030	0.458715
-0.034112	-0.341072	0.029990	-0.000026	0.458489
0.023442	-0.446925	0.039987	-0.000036	0.458212
-0.066436	-0.479823	0.049984	-0.000020	0.457993
-0.089984	-0.543209	0.059981	-0.000015	0.457755
-0.194281	-0.578793	0.069978	0.000004	0.457508
-0.027314	-0.713119	0.079974	-0.000027	0.457273
-0.266958	-0.706106	0.089971	0.000017	0.456999
-0.135984	-0.839515	0.099968	-0.000007	0.456722
-0.057918	-0.943879	0.109965	-0.000022	0.456474
-0.131664	-0.989417	0.119962	-0.000008	0.456232
-0.225712	-1.025572	0.129958	0.000009	0.455996
-0.073968	-1.160962	0.139955	-0.000019	0.455738
-0.290555	-1.164058	0.149952	0.000021	0.455457
-0.238592	-1.259348	0.159949	0.000012	0.455207
-0.421560	-1.263420	0.169946	0.000046	0.454965
-0.314035	-1.375301	0.179942	0.000025	0.454729
-0.269071	-1.465221	0.189939	0.000017	0.454487
-0.254255	-1.562965	0.199936	0.000014	0.454181
-0.492297	-1.549624	0.209933	0.000059	0.453928
-0.444441	-1.639309	0.219930	0.000050	0.453690
-0.600344	-1.650001	0.229926	0.000079	0.453459
-0.374734	-1.806042	0.239923	0.000036	0.453224
-0.550520	-1.812713	0.249920	0.000069	0.452981
-0.515325	-1.909852	0.259917	0.000063	0.452702
-0.510826	-1.984878	0.269914	0.000062	0.452458
-0.658768	-2.001797	0.279910	0.000089	0.452216
-0.887668	-1.989851	0.289907	0.000132	0.451968
-1.219977	-1.941513	0.299904	0.000194	0.451711
-1.459721	-1.941902	0.309901	0.000239	0.451408
-1.971101	-1.821168	0.319898	0.000335	0.451168
-2.093221	-1.847055	0.329894	0.000358	0.450927
-2.511192	-1.760376	0.339891	0.000436	0.450690
-2.664363	-1.771924	0.349888	0.000465	0.450459
-2.754929	-1.834689	0.359885	0.000482	0.450134
-2.902497	-1.854290	0.369882	0.000509	0.449882
-3.137823	-1.838644	0.379878	0.000553	0.449638
-3.243613	-1.869236	0.389875	0.000573	0.449401
-3.458641	-1.861143	0.399872	0.000613	0.449157
-3.704330	-1.850930	0.409869	0.000659	0.448880
-3.958458	-1.839397	0.419866	0.000707	0.448597
-3.868178	-1.945644	0.429862	0.000690	0.448354
-4.081116	-1.927969	0.439859	0.000730	0.448144
-3.978135	-2.030523	0.449856	0.000710	0.447930
-4.289797	-1.990614	0.459853	0.000769	0.447669
-4.495573	-1.999911	0.469850	0.000807	0.447376
-4.713403	-1.998371	0.479846	0.000848	0.447104
-4.893832	-2.001853	0.489843	0.000882	0.446863
-4.779869	-2.120046	0.499840	0.000860	0.446610
-5.014291	-2.106810	0.509837	0.000904	0.446356
-5.272906	-2.082593	0.519834	0.000952	0.446108
-5.527924	-2.077125	0.529830	0.001000	0.445802
-5.546151	-2.138859	0.539827	0.001003	0.445570
-5.787207	-2.123426	0.549824	0.001049	0.445315
-5.900486	-2.156148	0.559821	0.001070	0.445059
-6.147001	-2.134887	0.569818	0.001116	0.444817
-6.279882	-2.164061	0.579814	0.001141	0.444548
-6.462733	-2.179140	0.589811	0.001175	0.444263
-6.623106	-2.195318	0.599808	0.001205	0.444003
-6.752868	-2.219038	0.609805	0.001229	0.443756
-6.975809	-2.207155	0.619802	0.001271	0.443511
-6.913574	-2.300904	0.629798	0.001259	0.443272
-7.191243	-2.266224	0.639795	0.001311	0.443034
-7.253537	-2.332513	0.649792	0.001323	0.442729
-7.591784	-2.278303	0.659789	0.001386	0.442479
-7.635800	-2.335123	0.669786	0.001394	0.442229
-7.827133	-2.337072	0.679782	0.001430	0.441976
-8.046761	-2.327345	0.689779	0.001471	0.441727
-8.196815	-2.355991	0.699776	0.001499	0.441436
-8.300159	-2.399076	0.709773	0.001518	0.441156
-8.529075	-2.384692	0.719770	0.001561	0.440910
-8.477636	-2.476372	0.729766	0.001551	0.440663
-8.760525	-2.442809	0.739763	0.001604	0.440413
-8.990541	-2.433385	0.749760	0.001647	0.440148
-9.193190	-2.435796	0.759757	0.001685	0.439878
-9.424614	-2.433578	0.769754	0.001729	0.439586
-9.616380	-2.434505	0.779750	0.001765	0.439335
-9.627709	-2.504858	0.789747	0.001767	0.439079
-9.835547	-2.500283	0.799744	0.001805	0.438826
-9.910151	-2.544308	0.809741	0.001819	0.438578
-10.125222	-2.538325	0.819738	0.001860	0.438320
-10.384237	-2.510870	0.829734	0.001908	0.438078
-10.332623	-2.608207	0.839731	0.001898	0.437810
-10.618307	-2.575281	0.849728	0.001952	0.437553
-10.763379	-2.595347	0.859725	0.001979	0.437295
-10.889339	-2.621901	0.869722	0.002002	0.437040
-11.032042	-2.640671	0.879718	0.002029	0.436789
-11.387983	-2.597607	0.889715	0.002096	0.436474
-11.337634	-2.691452	0.899712	0.002086	0.436216
-11.806452	-2.586619	0.909709	0.002174	0.435967
-11.540425	-2.758818	0.919706	0.002124	0.435719
-11.940002	-2.682108	0.929702	0.002199	0.435463
-11.958155	-2.753265	0.939699	0.002202	0.435193
-12.275170	-2.713910	0.949696	0.002262	0.434915
