Tue Nov 22 16:43:01 2022

Number of Points = 4300
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	-0.126006	0.000000	-0.000019	0.459790

-0.156167	-0.139752	0.009997	0.000010	0.459552
-0.145671	-0.214430	0.019994	0.000008	0.459321
-0.201249	-0.266508	0.029990	0.000018	0.459082
-0.054346	-0.399460	0.039987	-0.000010	0.458827
-0.018126	-0.503109	0.049984	-0.000017	0.458532
-0.023848	-0.571445	0.059981	-0.000016	0.458301
-0.184712	-0.573609	0.069978	0.000014	0.458095
-0.250016	-0.613487	0.079974	0.000026	0.457883
-0.165690	-0.722215	0.089971	0.000010	0.457630
-0.140660	-0.825550	0.099968	0.000006	0.457321
-0.238266	-0.861686	0.109965	0.000024	0.457081
-0.137378	-0.972898	0.119962	0.000005	0.456840
-0.340896	-0.968768	0.129958	0.000043	0.456601
-0.200846	-1.096124	0.139955	0.000016	0.456356
-0.336867	-1.135621	0.149952	0.000042	0.456056
-0.332255	-1.210786	0.159949	0.000041	0.455814
-0.446395	-1.237618	0.169946	0.000062	0.455583
-0.347896	-1.346843	0.179942	0.000043	0.455345
-0.578989	-1.335652	0.189939	0.000086	0.455094
-0.523139	-1.443081	0.199936	0.000076	0.454809
-0.577862	-1.504264	0.209933	0.000086	0.454538
-0.520673	-1.596499	0.219930	0.000075	0.454304
-0.613548	-1.634266	0.229926	0.000092	0.454063
-0.772982	-1.647889	0.239923	0.000122	0.453818
-1.147555	-1.585180	0.249920	0.000192	0.453558
-1.404733	-1.573957	0.259917	0.000240	0.453273
-1.524527	-1.590951	0.269914	0.000263	0.453067
-1.793664	-1.559745	0.279910	0.000313	0.452834
-1.746751	-1.653787	0.289907	0.000304	0.452580
-1.991090	-1.633740	0.299904	0.000350	0.452340
-2.353075	-1.591909	0.309901	0.000418	0.452025
-2.551257	-1.590197	0.319898	0.000455	0.451782
-2.780297	-1.577940	0.329894	0.000497	0.451535
-2.869801	-1.618269	0.339891	0.000514	0.451288
-3.059740	-1.616629	0.349888	0.000549	0.451055
-3.282960	-1.619212	0.359885	0.000591	0.450765
-3.418625	-1.645417	0.369882	0.000617	0.450507
-3.466648	-1.701896	0.379878	0.000625	0.450258
-3.430410	-1.790999	0.389875	0.000618	0.450006
-3.712854	-1.756839	0.399872	0.000671	0.449764
-3.551128	-1.893992	0.409869	0.000641	0.449509
-3.698886	-1.926097	0.419866	0.000668	0.449215
-3.971910	-1.899308	0.429862	0.000719	0.448959
-4.193388	-1.888540	0.439859	0.000761	0.448715
-4.261843	-1.933918	0.449856	0.000774	0.448477
-4.481821	-1.921608	0.459853	0.000815	0.448240
-4.515917	-1.975885	0.469850	0.000821	0.448014
-4.709613	-1.988838	0.479846	0.000857	0.447725
-4.717737	-2.060576	0.489843	0.000858	0.447474
-5.016888	-2.021481	0.499840	0.000914	0.447226
-5.155739	-2.042508	0.509837	0.000940	0.446979
-5.339088	-2.045265	0.519834	0.000975	0.446737
-5.860902	-1.942449	0.529830	0.001072	0.446420
-6.200224	-1.887078	0.539827	0.001136	0.446175
-6.117355	-1.991920	0.549824	0.001120	0.445927
-6.256106	-2.011005	0.559821	0.001146	0.445686
-6.004697	-2.175944	0.569818	0.001099	0.445449
-6.363692	-2.122363	0.579814	0.001166	0.445173
-6.314487	-2.228495	0.589811	0.001157	0.444877
-6.690491	-2.160710	0.599808	0.001227	0.444626
-6.869854	-2.164921	0.609805	0.001260	0.444383
-7.008105	-2.186576	0.619802	0.001286	0.444133
-7.100966	-2.227262	0.629798	0.001303	0.443876
-7.466736	-2.166678	0.639795	0.001372	0.443614
-7.598902	-2.200691	0.649792	0.001397	0.443329
-8.074323	-2.086833	0.659789	0.001486	0.443107
-8.174603	-2.122585	0.669786	0.001504	0.442857
-8.271232	-2.162054	0.679782	0.001522	0.442599
-8.211830	-2.258232	0.689779	0.001511	0.442348
-8.470243	-2.244140	0.699776	0.001559	0.442065
-8.494206	-2.316756	0.709773	0.001564	0.441787
-8.598875	-2.353829	0.719770	0.001583	0.441526
-8.854885	-2.329885	0.729766	0.001631	0.441278
-8.848186	-2.404970	0.739763	0.001630	0.441031
-9.199982	-2.344615	0.749760	0.001695	0.440784
-9.219563	-2.414273	0.759757	0.001699	0.440521
-9.153551	-2.529175	0.769754	0.001686	0.440213
-9.466467	-2.483977	0.779750	0.001745	0.439964
-9.683644	-2.475866	0.789747	0.001786	0.439712
-9.975446	-2.438855	0.799744	0.001840	0.439461
-10.361478	-2.365856	0.809741	0.001912	0.439213
-10.430069	-2.420834	0.819738	0.001925	0.438936
-10.719000	-2.396140	0.829734	0.001979	0.438646
-10.903064	-2.398528	0.839731	0.002014	0.438400
-10.831550	-2.490226	0.849728	0.002000	0.438178
-11.215072	-2.414355	0.859725	0.002072	0.437942
-11.260419	-2.473702	0.869722	0.002080	0.437679
-11.413360	-2.489821	0.879718	0.002109	0.437425
-11.606064	-2.508404	0.889715	0.002145	0.437111
-11.478539	-2.629448	0.899712	0.002121	0.436860
-11.594518	-2.661156	0.909709	0.002142	0.436600
-11.684506	-2.702355	0.919706	0.002159	0.436341
-11.999990	-2.656719	0.929702	0.002218	0.436087
-12.188707	-2.658641	0.939699	0.002253	0.435835
-12.457151	-2.637829	0.949696	0.002303	0.435557
-12.226367	-2.810528	0.959693	0.002260	0.435261
-12.829586	-2.656970	0.969690	0.002373	0.435005
-12.565488	-2.831630	0.979686	0.002323	0.434745
-13.107406	-2.699628	0.989683	0.002425	0.434495
-12.980070	-2.821131	0.999680	0.002401	0.434240
-13.723847	-2.618131	1.009677	0.002540	0.433971
-13.710611	-2.709695	1.019674	0.002538	0.433671
-14.161384	-2.613487	1.029670	0.002622	0.433414
-13.991102	-2.743003	1.039667	0.002590	0.433188
-14.409142	-2.656419	1.049664	0.002668	0.432941
-14.202911	-2.810862	1.059661	0.002629	0.432674
-14.446133	-2.793339	1.069658	0.002675	0.432416
-14.607166	-2.813419	1.079654	0.002705	0.432134
-14.724869	-2.852206	1.089651	0.002727	0.431844
-14.813228	-2.895248	1.099648	0.002743	0.431578
-14.915887	-2.931430	1.109645	0.002762	0.431317
-15.056337	-2.952159	1.119642	0.002789	0.431060
-15.324757	-2.922654	1.129638	0.002839	0.430809
-15.279519	-3.011467	1.139635	0.002830	0.430558
-15.705160	-2.938463	1.149632	0.002910	0.430252
-15.980999	-2.915070	1.159629	0.002961	0.429969
-16.114779	-2.939116	1.169626	0.002986	0.429709
-16.496598	-2.868470	1.179622	0.003058	0.429451
-16.568231	-2.915532	1.189619	0.003071	0.429192
-16.863299	-2.880800	1.199616	0.003126	0.428923
-17.048580	-2.882991	1.209613	0.003161	0.428670
-17.443014	-2.814712	1.219610	0.003235	0.428387
-17.336038	-2.921646	1.229606	0.003215	0.428153
-17.389812	-2.978673	1.239603	0.003224	0.427881
-17.374970	-3.059177	1.249600	0.003222	0.427618
-17.388860	-3.129853	1.259597	0.003224	0.427351
-17.381587	-3.208468	1.269594	0.003223	0.427083
-17.512619	-3.232176	1.279590	0.003247	0.426825
-17.731133	-3.234638	1.289587	0.003288	0.426526
-17.921625	-3.244606	1.299584	0.003323	0.426237
-18.260531	-3.190561	1.309581	0.003387	0.425976
-18.391181	-3.213572	1.319578	0.003411	0.425720
-18.562005	-3.223216	1.329574	0.003443	0.425458
-18.773401	-3.220658	1.339571	0.003483	0.425185
-18.852368	-3.265322	1.349568	0.003497	0.424922
-19.285058	-3.177959	1.359565	0.003578	0.424653
-19.516717	-3.175736	1.369562	0.003622	0.424350
-19.797205	-3.148161	1.379558	0.003674	0.424073
-19.959863	-3.160957	1.389555	0.003704	0.423809
-20.171511	-3.154836	1.399552	0.003744	0.423547
-20.175258	-3.222804	1.409549	0.003744	0.423301
-20.476674	-3.179315	1.419546	0.003801	0.423051
-20.323951	-3.316142	1.429542	0.003772	0.422769
-20.629254	-3.279322	1.439539	0.003829	0.422490
-20.702473	-3.338471	1.449536	0.003843	0.422180
-20.792664	-3.377312	1.459533	0.003860	0.421921
-20.966754	-3.388804	1.469530	0.003892	0.421645
-21.341037	-3.322015	1.479526	0.003962	0.421379
-21.351099	-3.392730	1.489523	0.003964	0.421113
-21.826830	-3.286742	1.499520	0.004053	0.420850
-21.774194	-3.378688	1.509517	0.004043	0.420592
-22.212019	-3.296398	1.519514	0.004125	0.420295
-22.327079	-3.336306	1.529510	0.004146	0.419997
-22.472809	-3.357831	1.539507	0.004174	0.419722
-22.688680	-3.349320	1.549504	0.004214	0.419461
-22.948076	-3.328888	1.559501	0.004262	0.419182
-22.926826	-3.412623	1.569498	0.004258	0.418910
-23.133171	-3.408171	1.579494	0.004297	0.418647
-23.300190	-3.416372	1.589491	0.004328	0.418390
-23.395590	-3.441454	1.599488	0.004346	0.418171
-23.515403	-3.487083	1.609485	0.004368	0.417844
-23.500254	-3.568543	1.619482	0.004365	0.417571
-23.795829	-3.532506	1.629478	0.004420	0.417298
-24.073303	-3.502841	1.639475	0.004472	0.417027
-24.159926	-3.545257	1.649472	0.004488	0.416756
-24.267881	-3.581035	1.659469	0.004509	0.416480
-24.483327	-3.574837	1.669466	0.004549	0.416208
-24.600675	-3.605379	1.679462	0.004571	0.415937
-24.918106	-3.563328	1.689459	0.004630	0.415656
-25.205770	-3.538869	1.699456	0.004684	0.415351
-25.290181	-3.581976	1.709453	0.004700	0.415079
-25.651149	-3.522193	1.719450	0.004767	0.414802
-25.725447	-3.568856	1.729446	0.004781	0.414531
-26.066883	-3.516236	1.739443	0.004845	0.414254
-26.242674	-3.526117	1.749440	0.004878	0.413977
-26.300024	-3.577285	1.759437	0.004888	0.413712
-26.647656	-3.520185	1.769434	0.004953	0.413442
-26.745650	-3.553642	1.779430	0.004972	0.413186
-26.697554	-3.655923	1.789427	0.004962	0.412879
-26.722372	-3.721629	1.799424	0.004967	0.412605
-27.081719	-3.661632	1.809421	0.005034	0.412329
-27.089104	-3.734063	1.819418	0.005035	0.412054
-27.433611	-3.680310	1.829414	0.005100	0.411775
-27.576133	-3.704023	1.839411	0.005126	0.411492
-28.041628	-3.602773	1.849408	0.005214	0.411220
-28.142394	-3.641058	1.859405	0.005232	0.410940
-28.808003	-3.463255	1.869402	0.005357	0.410671
-28.926575	-3.505566	1.879398	0.005379	0.410351
-29.310991	-3.434412	1.889395	0.005451	0.410080
-29.519747	-3.431444	1.899392	0.005490	0.409802
-29.485817	-3.519250	1.909389	0.005484	0.409526
-29.601208	-3.551476	1.919386	0.005505	0.409247
-30.071804	-3.450705	1.929382	0.005593	0.408964
-29.946197	-3.571296	1.939379	0.005570	0.408695
-30.494514	-3.436500	1.949376	0.005672	0.408429
-30.371702	-3.544747	1.959373	0.005649	0.408201
-30.535891	-3.566369	1.969370	0.005680	0.407892
-30.703813	-3.584148	1.979366	0.005711	0.407593
-30.670147	-3.601129	1.989363	0.005705	0.407578
-29.501461	-3.412011	1.999360	0.005485	0.409911

-26.506658	-3.080994	2.009357	0.004923	0.415267
-23.435359	-2.777373	2.019354	0.004346	0.420559
-20.617825	-2.373330	2.029350	0.003817	0.425802
-17.473730	-2.098254	2.039347	0.003227	0.430959
-14.495836	-1.756943	2.049344	0.002668	0.436067
-11.501384	-1.426539	2.059341	0.002106	0.441099
-8.398269	-1.131317	2.069338	0.001524	0.446093
-5.882054	-0.619238	2.079334	0.001051	0.451016
-4.063438	0.160535	2.089331	0.000710	0.455901
