Tue Nov 22 17:53:40 2022

Number of Points = 4300
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	-0.144401	0.000000	-0.000037	0.456764

-0.104767	-0.178715	0.009997	-0.000018	0.456520
0.096687	-0.328223	0.019994	-0.000055	0.456277
-0.081045	-0.331733	0.029990	-0.000022	0.456044
0.044740	-0.471301	0.039987	-0.000046	0.455740
0.047975	-0.542609	0.049984	-0.000047	0.455508
-0.162563	-0.536665	0.059981	-0.000007	0.455265
-0.049920	-0.654481	0.069978	-0.000028	0.455015
0.051916	-0.765063	0.079974	-0.000047	0.454776
-0.197331	-0.759601	0.089971	-0.000001	0.454483
0.016426	-0.917525	0.099968	-0.000041	0.454226
-0.136563	-0.933534	0.109965	-0.000012	0.453982
-0.194241	-0.983689	0.119962	-0.000002	0.453743
-0.159365	-1.068606	0.129958	-0.000008	0.453505
-0.263628	-1.110095	0.139955	0.000011	0.453236
-0.278998	-1.175162	0.149952	0.000014	0.453000
-0.225652	-1.270581	0.159949	0.000004	0.452750
-0.345667	-1.299616	0.169946	0.000026	0.452502
-0.220659	-1.418892	0.179942	0.000003	0.452262
-0.125811	-1.528545	0.189939	-0.000015	0.452016
-0.285307	-1.560515	0.199936	0.000015	0.451708
-0.342953	-1.613298	0.209933	0.000026	0.451460
-0.236441	-1.727849	0.219930	0.000006	0.451211
-0.274193	-1.784310	0.229926	0.000013	0.450975
-0.316320	-1.840098	0.239923	0.000020	0.450735
-0.342114	-1.911061	0.249920	0.000025	0.450466
-0.457033	-1.953740	0.259917	0.000047	0.450178
-0.424867	-2.039214	0.269914	0.000041	0.449932
-0.519030	-2.075895	0.279910	0.000058	0.449690
-0.491881	-2.159130	0.289907	0.000053	0.449445
-0.536418	-2.215241	0.299904	0.000061	0.449201
-0.630885	-2.273449	0.309901	0.000079	0.448886
-0.642329	-2.340628	0.319898	0.000081	0.448646
-0.827906	-2.343097	0.329894	0.000116	0.448402
-1.106843	-2.302397	0.339891	0.000168	0.448185
-1.187159	-2.333186	0.349888	0.000183	0.447980
-1.640611	-2.249873	0.359885	0.000268	0.447685
-1.727826	-2.299701	0.369882	0.000284	0.447406
-2.054872	-2.252307	0.379878	0.000345	0.447150
-2.209332	-2.265817	0.389875	0.000374	0.446908
-2.426269	-2.255918	0.399872	0.000415	0.446666
-2.592658	-2.269030	0.409869	0.000446	0.446409
-2.819135	-2.272446	0.419866	0.000489	0.446109
-2.880219	-2.325771	0.429862	0.000500	0.445851
-3.055678	-2.329513	0.439859	0.000533	0.445615
-3.199362	-2.348416	0.449856	0.000560	0.445368
-3.505628	-2.308956	0.459853	0.000617	0.445110
-3.591647	-2.350206	0.469850	0.000633	0.444860
-3.944963	-2.308269	0.479846	0.000699	0.444551
-3.966742	-2.371785	0.489843	0.000703	0.444307
-4.199045	-2.359511	0.499840	0.000747	0.444052
-4.324290	-2.386006	0.509837	0.000770	0.443801
-4.510985	-2.386066	0.519834	0.000805	0.443562
-4.844140	-2.337294	0.529830	0.000867	0.443301
-4.793518	-2.431275	0.539827	0.000858	0.443046
-5.027223	-2.420774	0.549824	0.000902	0.442782
-5.121452	-2.459144	0.559821	0.000919	0.442530
