Fri Jan 13 17:27:19 2023

Number of Points = 3000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-2.147839	0.848482	0.000000	-0.089192	1.272789
0.000000	4.950126	0.005005	-0.089596	1.278319
1.651706	9.959162	0.010010	-0.089907	1.284641
3.212005	15.874686	0.015014	-0.090201	1.291908
4.469631	21.919099	0.020019	-0.090439	1.299155
5.468854	28.073383	0.025024	-0.090628	1.306380
6.577132	34.013615	0.030029	-0.090837	1.313372
7.927627	40.013138	0.035034	-0.091092	1.320488
8.737963	46.120620	0.040038	-0.091246	1.327469
9.843205	52.115793	0.045043	-0.091455	1.334408
10.476968	58.223303	0.050048	-0.091575	1.341247
11.412745	64.190374	0.055053	-0.091752	1.348018
12.117964	70.247168	0.060058	-0.091886	1.354762
13.006184	76.278873	0.065062	-0.092054	1.361516
13.518543	82.344593	0.070067	-0.092152	1.368128
14.304322	88.346192	0.075072	-0.092301	1.374745
14.831926	94.404206	0.080077	-0.092401	1.381291
15.445703	100.409021	0.085082	-0.092518	1.387784
15.943429	106.452289	0.090086	-0.092613	1.394242
16.748356	112.442642	0.095091	-0.092765	1.400730
17.301730	118.476204	0.100096	-0.092871	1.407139
17.875305	124.527758	0.105101	-0.092980	1.413545
18.235706	130.576533	0.110106	-0.093049	1.419841
18.871987	136.549154	0.115110	-0.093170	1.426132
19.379371	142.602031	0.120115	-0.093266	1.432429
20.084022	148.576991	0.125120	-0.093400	1.438692
20.391837	154.680445	0.130125	-0.093459	1.444914
20.921094	160.667292	0.135130	-0.093560	1.451071
21.503524	166.667613	0.140134	-0.093671	1.457235
22.156094	172.707388	0.145139	-0.093795	1.463436
22.469369	178.731404	0.150144	-0.093855	1.469476
23.184882	184.709949	0.155149	-0.093991	1.475588
23.704844	190.766522	0.160154	-0.094090	1.481682
24.466299	196.760767	0.165158	-0.094234	1.487774
24.756743	202.828525	0.170163	-0.094290	1.493750
25.206597	208.860258	0.175168	-0.094376	1.499721
25.747525	214.828855	0.180173	-0.094479	1.505640
26.344577	220.859850	0.185178	-0.094593	1.511614
26.735607	226.905628	0.190182	-0.094668	1.517508
27.413166	232.882340	0.195187	-0.094796	1.523411
27.772910	238.956863	0.200192	-0.094865	1.529276
28.344284	244.942678	0.205197	-0.094974	1.535106
28.745076	250.998673	0.210202	-0.095051	1.540923
29.357353	256.957391	0.215206	-0.095167	1.546697
29.832811	263.012096	0.220211	-0.095258	1.552493
30.370511	269.022864	0.225216	-0.095360	1.558248
30.886793	275.031407	0.230221	-0.095458	1.563972
31.306049	281.082976	0.235226	-0.095539	1.569683
31.652104	287.089293	0.240230	-0.095605	1.575308
32.285070	293.091596	0.245235	-0.095725	1.581002
32.654698	299.122251	0.250240	-0.095796	1.586616
33.147098	305.142910	0.255245	-0.095890	1.592241
33.565419	311.154093	0.260250	-0.095970	1.597814
34.011572	317.193523	0.265254	-0.096055	1.603401
34.317884	323.214076	0.270259	-0.096114	1.608907
34.931334	329.190521	0.275264	-0.096231	1.614453
35.503475	335.225581	0.280269	-0.096340	1.620018
35.838202	341.266105	0.285274	-0.096404	1.625494
36.180934	347.268928	0.290278	-0.096470	1.630921
36.751623	353.261938	0.295283	-0.096578	1.636393
37.099131	359.309480	0.300288	-0.096645	1.641824
37.596691	365.320886	0.305293	-0.096740	1.647253
37.930357	371.337759	0.310298	-0.096804	1.652617
38.366086	377.356700	0.315302	-0.096887	1.657997
38.646912	383.383677	0.320307	-0.096941	1.663320
39.167285	389.365211	0.325312	-0.097041	1.668659
39.514754	395.402950	0.330317	-0.097107	1.673977
40.192240	401.395834	0.335322	-0.097236	1.679339
40.489781	407.443637	0.340326	-0.097293	1.684616
40.749566	413.497652	0.345331	-0.097343	1.689871
41.098012	419.465342	0.350336	-0.097410	1.695062
41.664481	425.464397	0.355341	-0.097518	1.700329
41.854899	431.523084	0.360346	-0.097555	1.705519
42.294303	437.514672	0.365350	-0.097639	1.710710
42.568999	443.537939	0.370355	-0.097692	1.715862
42.987980	449.560974	0.375360	-0.097772	1.721042
43.242158	455.569546	0.380365	-0.097822	1.726146
43.857781	461.554079	0.385370	-0.097939	1.731320
44.179308	467.589110	0.390374	-0.098000	1.736435
44.900073	473.567015	0.395379	-0.098137	1.741603
45.257146	479.616294	0.400384	-0.098206	1.746710
45.662815	485.640939	0.405389	-0.098283	1.751795
45.982752	491.659524	0.410394	-0.098345	1.756836
46.338214	497.668697	0.415398	-0.098413	1.761864
46.807694	503.682728	0.420403	-0.098502	1.766915
47.096046	509.719543	0.425408	-0.098558	1.771919
47.347864	515.742944	0.430413	-0.098607	1.776887
47.665800	521.741509	0.435418	-0.098668	1.781839
48.045404	527.738327	0.440422	-0.098741	1.786794
48.460220	533.765581	0.445427	-0.098820	1.791769
48.938941	539.750278	0.450432	-0.098911	1.796715
49.278326	545.806990	0.455437	-0.098977	1.801665
49.684471	551.785742	0.460442	-0.099054	1.806558
50.213478	557.804828	0.465446	-0.099155	1.811504
50.558922	563.840777	0.470451	-0.099221	1.816399
51.045450	569.819833	0.475456	-0.099314	1.821274
51.273508	575.881074	0.480461	-0.099358	1.826130
51.652640	581.881163	0.485466	-0.099431	1.830967
51.801957	587.919767	0.490470	-0.099460	1.835758
52.146094	593.921499	0.495475	-0.099527	1.840560
52.428780	599.917764	0.500480	-0.099581	1.845330
52.881525	605.926457	0.505485	-0.099667	1.850142
53.115906	611.964180	0.510490	-0.099713	1.854906
53.671486	617.940597	0.515494	-0.099819	1.859696
53.939288	623.986782	0.520499	-0.099870	1.864450
54.531483	629.955409	0.525504	-0.099983	1.869220
54.823193	636.009114	0.530509	-0.100039	1.873962
55.308661	642.003421	0.535514	-0.100132	1.878698
55.432338	648.046839	0.540518	-0.100157	1.883364
55.957079	654.028031	0.545523	-0.100257	1.888077
56.227559	660.054615	0.550528	-0.100309	1.892745
56.611485	666.085913	0.555533	-0.100382	1.897436
56.918269	672.064345	0.560538	-0.100441	1.902054
57.441480	678.062748	0.565542	-0.100541	1.906733
57.697190	684.130639	0.570547	-0.100590	1.911383
57.889529	690.152318	0.575552	-0.100628	1.915970
58.330654	696.100708	0.580557	-0.100712	1.920556
58.702031	702.146248	0.585562	-0.100783	1.925185
59.107718	708.156711	0.590566	-0.100861	1.929786
59.573775	714.163905	0.595571	-0.100950	1.934389
59.753194	720.204296	0.600576	-0.100985	1.938932
60.124109	726.205117	0.605581	-0.101056	1.943484
60.408574	732.194086	0.610586	-0.101111	1.947995
60.667752	738.234496	0.615590	-0.101161	1.952526
61.015915	744.219652	0.620595	-0.101228	1.957029
61.501617	750.233730	0.625600	-0.101321	1.961578
61.762947	756.258930	0.630605	-0.101371	1.966067
62.049074	762.288190	0.635610	-0.101426	1.970556
62.345492	768.281370	0.640614	-0.101484	1.975010
62.769380	774.289261	0.645619	-0.101565	1.979497
63.095141	780.307525	0.650624	-0.101627	1.983956
63.450171	786.329016	0.655629	-0.101695	1.988415
63.406737	792.372956	0.660634	-0.101689	1.992782
63.849637	798.355716	0.665638	-0.101773	1.997215
63.946731	804.370252	0.670643	-0.101793	2.001576
64.216029	810.385588	0.675648	-0.101845	2.005970
64.570774	816.347317	0.680653	-0.101913	2.010337
65.006226	822.418069	0.685658	-0.101996	2.014792
65.310618	828.397079	0.690662	-0.102055	2.019140
65.712339	834.418299	0.695667	-0.102132	2.023533
65.884756	840.445647	0.700672	-0.102165	2.027864
66.131696	846.461968	0.705677	-0.102213	2.032196
66.527046	852.425357	0.710682	-0.102289	2.036517
66.794683	858.478500	0.715686	-0.102341	2.040862
67.226826	864.456683	0.720691	-0.102423	2.045184
