Fri Jan 13 17:27:19 2023

Number of Points = 3000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-4.284901	1.592122	0.000000	-0.048840	1.180937
0.000000	4.328818	0.005005	-0.049645	1.186221
4.626434	9.010960	0.010010	-0.050514	1.194002
7.791158	15.121629	0.015014	-0.051109	1.202809
9.636462	21.414316	0.020019	-0.051457	1.211191
11.058704	27.555490	0.025024	-0.051726	1.219150
12.355722	33.653829	0.030029	-0.051971	1.226953
13.421931	39.736186	0.035034	-0.052172	1.234587
14.342006	45.821302	0.040038	-0.052346	1.242115
15.383913	51.821041	0.045043	-0.052543	1.249549
16.168987	57.903121	0.050048	-0.052692	1.256926
16.867691	63.951867	0.055053	-0.052825	1.264186
17.504257	70.004211	0.060058	-0.052946	1.271382
18.183907	76.011996	0.065062	-0.053075	1.278504
18.922115	82.049401	0.070067	-0.053215	1.285644
19.556715	88.094322	0.075072	-0.053335	1.292711
20.272145	94.116161	0.080077	-0.053471	1.299746
20.692833	100.244614	0.085082	-0.053551	1.306742
21.375376	106.187334	0.090086	-0.053681	1.313601
21.885162	112.232596	0.095091	-0.053778	1.320467
22.433387	118.246956	0.100096	-0.053882	1.327280
22.996088	124.264977	0.105101	-0.053990	1.334067
23.704804	130.291317	0.110106	-0.054124	1.340886
23.908242	136.373294	0.115110	-0.054164	1.347532
24.526202	142.360200	0.120115	-0.054281	1.354206
24.928308	148.385328	0.125120	-0.054358	1.360803
25.689446	154.383707	0.130125	-0.054502	1.367478
26.095819	160.445933	0.135130	-0.054580	1.374053
26.676580	166.469808	0.140134	-0.054691	1.380621
27.243591	172.471584	0.145139	-0.054798	1.387131
27.944981	178.474724	0.150144	-0.054932	1.393661
28.339001	184.540186	0.155149	-0.055007	1.400111
28.997428	190.534903	0.160154	-0.055132	1.406556
29.534005	196.570212	0.165158	-0.055234	1.412968
30.150397	202.602344	0.170163	-0.055351	1.419377
30.407090	208.654792	0.175168	-0.055401	1.425646
31.075261	214.633880	0.180173	-0.055528	1.431963
31.254813	220.711637	0.185178	-0.055563	1.438174
31.924335	226.691689	0.190182	-0.055690	1.444438
