Fri Jan 13 17:27:19 2023

Number of Points = 3000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-2.740879	1.418910	0.000000	-0.019070	1.106589
0.000000	4.503611	0.005005	-0.019585	1.111970
2.383924	9.243166	0.010010	-0.020033	1.119312
4.361799	15.103617	0.015014	-0.020406	1.127863
5.908561	21.200991	0.020019	-0.020698	1.136449
7.030563	27.325622	0.025024	-0.020910	1.144806
8.171521	33.378385	0.030029	-0.021125	1.153019
9.198916	39.441150	0.035034	-0.021320	1.161135
10.242262	45.492891	0.040038	-0.021517	1.169187
11.129350	51.555353	0.045043	-0.021685	1.177126
12.014614	57.621159	0.050048	-0.021852	1.185015
12.802990	63.644419	0.055053	-0.022002	1.192756
13.677465	69.690578	0.060058	-0.022167	1.200512
14.429990	75.724210	0.065062	-0.022310	1.208150
15.198336	81.786332	0.070067	-0.022456	1.215780
15.588993	87.888238	0.075072	-0.022531	1.223246
16.324283	93.862082	0.080077	-0.022670	1.230663
16.959276	99.894161	0.085082	-0.022791	1.238061
17.603341	105.937147	0.090086	-0.022913	1.245432
18.250307	111.959075	0.095091	-0.023036	1.252735
18.931156	118.003905	0.100096	-0.023165	1.260037
19.431924	124.047226	0.105101	-0.023261	1.267220
20.200311	130.038427	0.110106	-0.023406	1.274413
20.629480	136.123246	0.115110	-0.023488	1.281532
21.268294	142.126437	0.120115	-0.023610	1.288605
21.715953	148.186956	0.125120	-0.023695	1.295626
22.289416	154.234571	0.130125	-0.023804	1.302646
22.706446	160.278729	0.135130	-0.023884	1.309560
23.294706	166.253642	0.140134	-0.023996	1.316431
23.698323	172.296660	0.145139	-0.024073	1.323266
24.169137	178.323542	0.150144	-0.024163	1.330075
24.701396	184.341271	0.155149	-0.024264	1.336864
25.297929	190.351367	0.160154	-0.024378	1.343636
25.689795	196.394426	0.165158	-0.024453	1.350328
26.266523	202.401070	0.170163	-0.024562	1.357020
26.879102	208.416886	0.175168	-0.024679	1.363703
27.592056	214.433670	0.180173	-0.024814	1.370393
28.162491	220.470731	0.185178	-0.024923	1.377017
28.695584	226.515879	0.190182	-0.025024	1.383604
29.337338	232.517438	0.195187	-0.025146	1.390154
29.653813	238.599329	0.200192	-0.025207	1.396635
30.076154	244.597511	0.205197	-0.025288	1.403038
30.858908	250.566765	0.210202	-0.025436	1.409517
31.427409	256.602361	0.215206	-0.025544	1.415954
32.039839	262.642664	0.220211	-0.025661	1.422384
32.522721	268.666110	0.225216	-0.025753	1.428719
33.082962	274.715514	0.230221	-0.025859	1.435081
33.341151	280.747590	0.235226	-0.025909	1.441287
33.798769	286.757326	0.240230	-0.025997	1.447516
34.250425	292.782751	0.245235	-0.026083	1.453732
34.671159	298.817501	0.250240	-0.026163	1.459920
35.027988	304.834579	0.255245	-0.026232	1.466040
35.541093	310.837249	0.260250	-0.026330	1.472177
36.102351	316.825511	0.265254	-0.026436	1.478291
36.507316	322.900348	0.270259	-0.026514	1.484409
36.830136	328.921274	0.275264	-0.026576	1.490421
37.358310	334.921814	0.280269	-0.026677	1.496460
37.766694	340.936913	0.285274	-0.026755	1.502447
38.161563	346.989515	0.290278	-0.026830	1.508442
38.665434	352.966368	0.295283	-0.026926	1.514378
39.101914	359.006852	0.300288	-0.027010	1.520328
39.521951	365.028119	0.305293	-0.027090	1.526231
39.906822	371.072071	0.310298	-0.027164	1.532121
40.439268	377.006438	0.315302	-0.027265	1.537934
41.329401	383.046565	0.320307	-0.027434	1.543945
41.600684	389.124494	0.325312	-0.027486	1.549761
41.941771	395.132964	0.330317	-0.027551	1.555513
42.253119	401.168518	0.335322	-0.027611	1.561259
42.870450	407.129585	0.340326	-0.027729	1.567017
43.330628	413.159376	0.345331	-0.027817	1.572764
43.764337	419.221603	0.350336	-0.027899	1.578512
44.028196	425.232218	0.355341	-0.027950	1.584136
44.423691	431.243643	0.360346	-0.028026	1.589784
44.691444	437.277776	0.365350	-0.028078	1.595390
45.208315	443.263634	0.370355	-0.028176	1.601014
45.440113	449.308203	0.375360	-0.028221	1.606579
45.987462	455.306848	0.380365	-0.028325	1.612185
46.217010	461.352107	0.385370	-0.028370	1.617711
46.490521	467.397054	0.390374	-0.028423	1.623232
46.962773	473.349352	0.395379	-0.028513	1.628715
47.276765	479.391034	0.400384	-0.028573	1.634209
47.666619	485.402209	0.405389	-0.028648	1.639681
48.143732	491.393966	0.410394	-0.028739	1.645145
48.455243	497.434990	0.415398	-0.028799	1.650582
48.930683	503.443497	0.420403	-0.028890	1.656024
49.243236	509.472651	0.425408	-0.028950	1.661416
49.790668	515.467328	0.430413	-0.029054	1.666832
50.156734	521.498272	0.435418	-0.029124	1.672207
50.416206	527.553056	0.440422	-0.029174	1.677552
50.699245	533.548693	0.445427	-0.029229	1.682836
50.857093	539.603836	0.450432	-0.029260	1.688117
51.371647	545.532633	0.455437	-0.029358	1.693381
51.914795	551.592151	0.460442	-0.029462	1.698749
52.175067	557.601931	0.465446	-0.029512	1.703972
52.521352	563.641055	0.470451	-0.029578	1.709230
52.726001	569.642063	0.475456	-0.029618	1.714397
53.027686	575.682213	0.480461	-0.029676	1.719611
53.216550	581.667344	0.485466	-0.029713	1.724729
53.658727	587.685387	0.490470	-0.029798	1.729934
53.940850	593.695726	0.495475	-0.029852	1.735070
54.349184	599.729321	0.500480	-0.029930	1.740247
54.581291	605.736569	0.505485	-0.029975	1.745335
54.964417	611.744080	0.510490	-0.030049	1.750453
55.199088	617.778172	0.515494	-0.030094	1.755534
55.540238	623.788360	0.520499	-0.030160	1.760612
55.727693	629.806692	0.525504	-0.030196	1.765637
56.068106	635.823147	0.530509	-0.030262	1.770691
56.331760	641.831050	0.535514	-0.030313	1.775701
56.449430	647.875923	0.540518	-0.030336	1.780685
56.698751	653.841074	0.545523	-0.030385	1.785628
57.084956	659.859628	0.550528	-0.030458	1.790640
57.343001	665.882648	0.555533	-0.030508	1.795604
57.624904	671.910864	0.560538	-0.030563	1.800566
57.819918	677.924710	0.565542	-0.030601	1.805479
