Fri Jan 13 17:27:19 2023

Number of Points = 3000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-19.138661	-1.112273	0.000000	-0.162379	1.421381
0.000000	2.131575	0.005005	-0.165971	1.431534
8.189194	9.029374	0.010010	-0.167509	1.441325
14.498461	15.384203	0.015014	-0.168695	1.449844
18.606994	21.826696	0.020019	-0.169467	1.457623
22.957241	27.842732	0.025024	-0.170285	1.465028
26.557122	34.001560	0.030029	-0.170962	1.472272
30.218933	40.038539	0.035034	-0.171651	1.479382
33.037953	46.202483	0.040038	-0.172181	1.486289
36.099284	52.196233	0.045043	-0.172757	1.493083
38.915794	58.292114	0.050048	-0.173287	1.499859
41.790809	64.261388	0.055053	-0.173828	1.506503
44.478786	70.359203	0.060058	-0.174334	1.513176
47.174708	76.347071	0.065062	-0.174841	1.519717
49.370025	82.493028	0.070067	-0.175255	1.526210
51.884551	88.430772	0.075072	-0.175728	1.532588
54.249757	94.519944	0.080077	-0.176173	1.539028
56.416545	100.535680	0.085082	-0.176581	1.545308
58.568823	106.593007	0.090086	-0.176987	1.551596
60.817586	112.584954	0.095091	-0.177410	1.557829
63.074013	118.600176	0.100096	-0.177835	1.564060
64.980751	124.674439	0.105101	-0.178194	1.570206
67.053845	130.689946	0.110106	-0.178585	1.576328
68.920491	136.727265	0.115110	-0.178936	1.582379
70.932755	142.739869	0.120115	-0.179316	1.588431
72.501615	148.827146	0.125120	-0.179611	1.594385
74.351919	154.798383	0.130125	-0.179960	1.600302
75.631135	160.911357	0.135130	-0.180202	1.606142
77.159888	166.895593	0.140134	-0.180490	1.611925
78.289689	172.995333	0.145139	-0.180703	1.617665
79.544098	178.994248	0.150144	-0.180940	1.623334
80.409913	185.062646	0.155149	-0.181104	1.628923
81.553817	191.035285	0.160154	-0.181320	1.634495
82.220663	197.131397	0.165158	-0.181447	1.640008
83.278163	203.095924	0.170163	-0.181647	1.645509
83.904401	209.152971	0.175168	-0.181766	1.650939
85.026048	215.127859	0.180173	-0.181978	1.656431
85.577890	221.219087	0.185178	-0.182083	1.661832
86.218463	227.209444	0.190182	-0.182205	1.667156
86.733539	233.265101	0.195187	-0.182303	1.672480
87.664917	239.216404	0.200192	-0.182479	1.677823
88.092416	245.285692	0.205197	-0.182561	1.683099
88.856196	251.291103	0.210202	-0.182706	1.688404
89.451511	257.298873	0.215206	-0.182819	1.693645
90.175753	263.321288	0.220211	-0.182956	1.698919
90.624521	269.348784	0.225216	-0.183042	1.704100
91.381659	275.344284	0.230221	-0.183185	1.709329
91.771250	281.377263	0.235226	-0.183260	1.714466
92.616568	287.374420	0.240230	-0.183420	1.719690
93.040364	293.413229	0.245235	-0.183501	1.724811
93.612490	299.420401	0.250240	-0.183610	1.729932
93.929057	305.471418	0.255245	-0.183671	1.735001
94.544580	311.452875	0.260250	-0.183788	1.740084
95.057735	317.467144	0.265254	-0.183886	1.745150
95.672896	323.486856	0.270259	-0.184002	1.750234
95.918237	329.532914	0.275264	-0.184050	1.755219
96.722647	335.482356	0.280269	-0.184202	1.760271
97.187194	341.530406	0.285274	-0.184291	1.765291
97.822017	347.543734	0.290278	-0.184412	1.770317
98.070057	353.593517	0.295283	-0.184460	1.775250
98.806344	359.550520	0.300288	-0.184599	1.780231
99.137031	365.618522	0.305293	-0.184663	1.785173
99.700975	371.600589	0.310298	-0.184770	1.790098
100.068205	377.636054	0.315302	-0.184841	1.794998
100.665208	383.625318	0.320307	-0.184954	1.799911
100.828050	389.698230	0.325312	-0.184986	1.804756
101.320353	395.674678	0.330317	-0.185080	1.809604
101.631865	401.694956	0.335322	-0.185140	1.814423
102.319141	407.676188	0.340326	-0.185270	1.819301
102.556854	413.750217	0.345331	-0.185317	1.824116
103.092332	419.711805	0.350336	-0.185418	1.828912
103.494005	425.730395	0.355341	-0.185495	1.833703
103.989130	431.774663	0.360346	-0.185590	1.838526
104.419541	437.764592	0.365350	-0.185672	1.843278
104.911158	443.788144	0.370355	-0.185766	1.848059
105.258980	449.795168	0.375360	-0.185832	1.852777
105.917823	455.809610	0.380365	-0.185958	1.857571
106.007399	461.847733	0.385370	-0.185976	1.862220
106.542318	467.838421	0.390374	-0.186078	1.866938
106.863614	473.851621	0.395379	-0.186140	1.871606
107.267347	479.884996	0.400384	-0.186217	1.876299
107.473956	485.889211	0.405389	-0.186257	1.880906
108.097990	491.882659	0.410394	-0.186376	1.885603
108.332727	497.926300	0.415398	-0.186421	1.890225
108.897515	503.899654	0.420403	-0.186529	1.894868
109.241862	509.939257	0.425408	-0.186595	1.899492
109.709266	515.950058	0.430413	-0.186684	1.904115
109.999875	521.971117	0.435418	-0.186740	1.908689
110.578767	527.972981	0.440422	-0.186850	1.913311
110.908253	534.005581	0.445427	-0.186913	1.917882
111.294982	540.000794	0.450432	-0.186987	1.922428
111.469082	546.053444	0.455437	-0.187022	1.926952
111.943522	552.011871	0.460442	-0.187112	1.931472
112.174279	558.077317	0.465446	-0.187157	1.935998
112.552085	564.057330	0.470451	-0.187229	1.940488
112.656736	570.097745	0.475456	-0.187250	1.944943
113.207289	576.062211	0.480461	-0.187355	1.949444
113.614888	582.082026	0.485466	-0.187433	1.953940
113.974198	588.130161	0.490470	-0.187502	1.958433
114.358484	594.085282	0.495475	-0.187576	1.962855
114.796288	600.146955	0.500480	-0.187659	1.967357
115.127497	606.134620	0.505485	-0.187723	1.971769
115.555449	612.176355	0.510490	-0.187805	1.976234
115.656813	618.185778	0.515494	-0.187825	1.980585
116.035323	624.183751	0.520499	-0.187898	1.984987
116.351616	630.206048	0.525504	-0.187959	1.989380
116.865436	636.188906	0.530509	-0.188056	1.993784
117.075741	642.228372	0.535514	-0.188097	1.998145
117.487412	648.235539	0.540518	-0.188176	2.002522
117.740679	654.264392	0.545523	-0.188225	2.006867
118.097677	660.252455	0.550528	-0.188294	2.011198
118.380499	666.264081	0.555533	-0.188348	2.015518
118.766665	672.292207	0.560538	-0.188422	2.019866
