Fri Jan 13 17:27:19 2023

Number of Points = 3000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-2.588783	1.404661	0.000000	-0.012039	1.088227
0.000000	4.484006	0.005005	-0.012525	1.093624
2.533249	9.132730	0.010010	-0.013002	1.101049
4.896936	14.924458	0.015014	-0.013447	1.109846
6.769152	21.016614	0.020019	-0.013800	1.118729
8.152038	27.194848	0.025024	-0.014061	1.127419
9.072985	33.327561	0.030029	-0.014235	1.135766
10.120535	39.395214	0.035034	-0.014433	1.144028
10.940448	45.446404	0.040038	-0.014588	1.152104
11.959610	51.473056	0.045043	-0.014781	1.160184
12.484213	57.588573	0.050048	-0.014881	1.168092
13.481675	63.570597	0.055053	-0.015070	1.175996
14.239489	69.629746	0.060058	-0.015214	1.183834
15.134721	75.652819	0.065062	-0.015383	1.191638
15.677447	81.746557	0.070067	-0.015486	1.199319
16.382113	87.769050	0.075072	-0.015620	1.206937
16.810937	93.838620	0.080077	-0.015702	1.214442
17.697113	99.809166	0.085082	-0.015870	1.221982
18.198570	105.896927	0.090086	-0.015965	1.229447
18.835574	111.912488	0.095091	-0.016086	1.236841
19.266196	117.979436	0.100096	-0.016169	1.244163
19.969286	123.964637	0.105101	-0.016302	1.251462
20.569127	130.019594	0.110106	-0.016416	1.258756
21.143279	136.048046	0.115110	-0.016525	1.265966
21.538531	142.105181	0.120115	-0.016601	1.273093
22.233172	148.100959	0.125120	-0.016733	1.280235
22.601492	154.166983	0.130125	-0.016803	1.287281
23.308079	160.152036	0.135130	-0.016938	1.294337
23.835712	166.227137	0.140134	-0.017038	1.301382
24.291560	172.287781	0.145139	-0.017125	1.308344
24.799949	178.259204	0.150144	-0.017222	1.315191
25.272568	184.297279	0.155149	-0.017312	1.322062
25.771085	190.323062	0.160154	-0.017407	1.328894
26.466121	196.294035	0.165158	-0.017539	1.335709
27.119149	202.352172	0.170163	-0.017663	1.342567
27.680361	208.375061	0.175168	-0.017770	1.349316
27.936628	214.464712	0.180173	-0.017819	1.355984
28.429256	220.466207	0.185178	-0.017913	1.362616
28.899176	226.476353	0.190182	-0.018003	1.369217
29.402904	232.502667	0.195187	-0.018099	1.375816
29.795409	238.553229	0.200192	-0.018174	1.382366
30.288273	244.547704	0.205197	-0.018268	1.388865
30.658887	250.580389	0.210202	-0.018339	1.395327
31.086749	256.616040	0.215206	-0.018421	1.401783
31.464224	262.634560	0.220211	-0.018493	1.408174
32.015698	268.630204	0.225216	-0.018598	1.414576
32.311753	274.701120	0.230221	-0.018655	1.420932
32.792843	280.702708	0.235226	-0.018747	1.427257
33.062766	286.728378	0.240230	-0.018799	1.433501
33.650776	292.725427	0.245235	-0.018911	1.439805
34.184387	298.737782	0.250240	-0.019013	1.446077
34.586617	304.801884	0.255245	-0.019090	1.452326
34.775213	310.852533	0.260250	-0.019127	1.458458
35.368322	316.803294	0.265254	-0.019239	1.464610
35.886757	322.820262	0.270259	-0.019338	1.470774
36.536754	328.829780	0.275264	-0.019462	1.476953
36.871577	334.916022	0.280269	-0.019526	1.483069
37.183105	340.933587	0.285274	-0.019586	1.489084
37.522869	346.944653	0.290278	-0.019651	1.495079
38.013107	352.959439	0.295283	-0.019745	1.501106
38.298237	358.980718	0.300288	-0.019800	1.507044
38.745527	364.990506	0.305293	-0.019885	1.513003
39.119710	371.031304	0.310298	-0.019957	1.518944
39.601225	377.026823	0.315302	-0.020048	1.524854
39.964469	383.058960	0.320307	-0.020118	1.530736
40.427846	389.077810	0.325312	-0.020207	1.536617
41.382874	394.995771	0.330317	-0.020387	1.542546
41.845090	401.106311	0.335322	-0.020475	1.548468
42.136837	407.151536	0.340326	-0.020532	1.554249
42.708062	413.117484	0.345331	-0.020640	1.560027
42.924905	419.191753	0.350336	-0.020683	1.565767
43.588088	425.168165	0.355341	-0.020808	1.571542
43.770900	431.247771	0.360346	-0.020844	1.577234
44.204304	437.221034	0.365350	-0.020927	1.582889
44.509460	443.265627	0.370355	-0.020986	1.588547
44.924721	449.250922	0.375360	-0.021065	1.594167
45.339536	455.299104	0.380365	-0.021145	1.599825
45.779881	461.286903	0.385370	-0.021229	1.605415
46.042593	467.328917	0.390374	-0.021279	1.610978
46.501906	473.344692	0.395379	-0.021367	1.616561
46.784267	479.380432	0.400384	-0.021422	1.622086
47.280325	485.358184	0.405389	-0.021516	1.627609
47.444070	491.416741	0.410394	-0.021548	1.633079
47.885085	497.419439	0.415398	-0.021633	1.638569
48.111545	503.431206	0.420403	-0.021677	1.643981
48.449982	509.467241	0.425408	-0.021742	1.649432
48.788074	515.449652	0.430413	-0.021807	1.654817
49.062894	521.517131	0.435418	-0.021860	1.660240
49.430586	527.467854	0.440422	-0.021930	1.665571
49.782529	533.523556	0.445427	-0.021998	1.670973
50.249739	539.514291	0.450432	-0.022087	1.676335
50.645862	545.542110	0.455437	-0.022163	1.681691
50.896139	551.590687	0.460442	-0.022211	1.687003
51.340333	557.557969	0.465446	-0.022296	1.692287
51.650927	563.604432	0.470451	-0.022356	1.697583
52.404131	569.557101	0.475456	-0.022498	1.702915
