Fri Jan 13 17:27:19 2023

Number of Points = 3000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	2.695000	0.000000	-0.006160	1.074375
4.194535	4.404021	0.005005	-0.006948	1.078793
9.548171	8.576322	0.010010	-0.007953	1.087083
12.550909	14.586125	0.015014	-0.008518	1.096603
14.285098	20.925447	0.020019	-0.008845	1.105859
16.039440	27.031630	0.025024	-0.009176	1.114741
17.153270	33.224037	0.030029	-0.009386	1.123358
18.223950	39.307032	0.035034	-0.009589	1.131747
19.242343	45.375416	0.040038	-0.009781	1.140031
20.020182	51.448680	0.045043	-0.009929	1.148148
20.889086	57.478729	0.050048	-0.010093	1.156196
21.656808	63.550834	0.055053	-0.010239	1.164194
22.299432	69.616891	0.060058	-0.010361	1.172072
22.923377	75.661380	0.065062	-0.010480	1.179863
23.469276	81.701705	0.070067	-0.010584	1.187561
24.265942	87.707788	0.075072	-0.010735	1.195281
24.706194	93.801149	0.080077	-0.010819	1.202898
25.405124	99.801721	0.085082	-0.010951	1.210469
26.086614	105.808836	0.090086	-0.011081	1.217993
26.684354	111.884833	0.095091	-0.011194	1.225516
27.095011	117.941003	0.100096	-0.011273	1.232888
27.749492	123.941792	0.105101	-0.011397	1.240256
28.043738	130.014294	0.110106	-0.011454	1.247511
28.602554	136.035338	0.115110	-0.011560	1.254776
29.159067	142.039114	0.120115	-0.011666	1.261978
29.558645	148.103640	0.125120	-0.011743	1.269142
29.855540	154.157906	0.130125	-0.011800	1.276212
30.518183	160.130398	0.135130	-0.011926	1.283302
31.002836	166.165759	0.140134	-0.012018	1.290350
31.415588	172.225678	0.145139	-0.012097	1.297357
31.793821	178.305704	0.150144	-0.012170	1.304336
32.237599	184.292551	0.155149	-0.012254	1.311200
32.784966	190.262267	0.160154	-0.012358	1.318050
33.209164	196.336242	0.165158	-0.012440	1.324931
33.649728	202.345570	0.170163	-0.012524	1.331712
33.968713	208.410973	0.175168	-0.012585	1.338471
34.424869	214.391071	0.180173	-0.012672	1.345157
34.802134	220.431050	0.185178	-0.012744	1.351844
35.261869	226.456938	0.190182	-0.012832	1.358515
35.922576	232.433078	0.195187	-0.012958	1.365178
36.416819	238.490432	0.200192	-0.013052	1.371830
36.722919	244.553786	0.205197	-0.013111	1.378385
37.113192	250.567798	0.210202	-0.013186	1.384888
37.646698	256.550646	0.215206	-0.013287	1.391383
38.156351	262.579108	0.220211	-0.013384	1.397886
38.677010	268.609904	0.225216	-0.013483	1.404365
39.203041	274.618508	0.230221	-0.013584	1.410793
39.760994	280.653168	0.235226	-0.013690	1.417231
40.211321	286.672104	0.240230	-0.013776	1.423583
40.696023	292.699710	0.245235	-0.013868	1.429928
41.248382	298.713630	0.250240	-0.013973	1.436257
41.839554	304.738718	0.255245	-0.014086	1.442582
42.382265	310.750139	0.260250	-0.014189	1.448849
42.705604	316.835542	0.265254	-0.014251	1.455083
43.081212	322.835889	0.270259	-0.014323	1.461225
43.438172	328.857766	0.275264	-0.014392	1.467355
43.892536	334.845915	0.280269	-0.014478	1.473461
44.521130	340.871068	0.285274	-0.014598	1.479640
44.839650	346.900135	0.290278	-0.014659	1.485687
45.291136	352.941102	0.295283	-0.014745	1.491768
45.648605	358.961509	0.300288	-0.014814	1.497772
46.128232	364.959383	0.305293	-0.014905	1.503772
46.494157	371.003300	0.310298	-0.014976	1.509753
46.837690	377.024753	0.315302	-0.015042	1.515681
47.207138	383.034426	0.320307	-0.015112	1.521584
47.797979	389.033612	0.325312	-0.015225	1.527529
48.203234	395.066372	0.330317	-0.015302	1.533420
48.739818	401.076076	0.335322	-0.015404	1.539310
49.115524	407.111216	0.340326	-0.015476	1.545148
49.451689	413.145638	0.345331	-0.015541	1.550950
49.749219	419.157255	0.350336	-0.015598	1.556696
50.144320	425.191192	0.355341	-0.015674	1.562474
50.519126	431.184252	0.360346	-0.015746	1.568185
51.054891	437.189188	0.365350	-0.015848	1.573940
