Fri Jan 13 17:27:19 2023

Number of Points = 3000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	2.105825	0.000000	-0.039813	1.159673
6.771230	3.875558	0.005005	-0.041084	1.164994
22.267354	6.296499	0.010010	-0.043992	1.175061
50.302313	8.808982	0.015014	-0.049253	1.190760
73.952010	16.712209	0.020019	-0.053693	1.210781
76.637012	26.543167	0.025024	-0.054199	1.223674
77.883014	33.476044	0.030029	-0.054435	1.232406
78.976451	39.729383	0.035034	-0.054642	1.240215
79.765900	45.845325	0.040038	-0.054791	1.247687
80.552696	51.904242	0.045043	-0.054940	1.255047
81.290434	57.943747	0.050048	-0.055080	1.262320
81.987489	63.981042	0.055053	-0.055213	1.269532
82.727045	69.982012	0.060058	-0.055353	1.276680
83.283973	76.080218	0.065062	-0.055459	1.283822
83.945971	82.068333	0.070067	-0.055585	1.290844
84.771834	88.091924	0.075072	-0.055741	1.297934
85.184413	94.238266	0.080077	-0.055820	1.304954
85.680915	100.204333	0.085082	-0.055915	1.311771
86.170081	106.214049	0.090086	-0.056008	1.318598
86.740766	112.249336	0.095091	-0.056116	1.325449
87.293484	118.247081	0.100096	-0.056222	1.332217
87.915759	124.293632	0.105101	-0.056340	1.339032
88.302631	130.338068	0.110106	-0.056414	1.345717
88.749274	136.380354	0.115110	-0.056499	1.352389
89.288941	142.358666	0.120115	-0.056602	1.358997
89.896502	148.404671	0.125120	-0.056718	1.365670
90.294675	154.435688	0.130125	-0.056794	1.372215
91.064106	160.414292	0.135130	-0.056940	1.378815
91.453525	166.499004	0.140134	-0.057014	1.385350
92.044428	172.481170	0.145139	-0.057126	1.391824
92.624259	178.520639	0.150144	-0.057237	1.398322
93.244562	184.524163	0.155149	-0.057355	1.404769
93.719225	190.570225	0.160154	-0.057445	1.411175
94.291976	196.576712	0.165158	-0.057554	1.417548
94.631463	202.654735	0.170163	-0.057619	1.423879
95.023002	208.669570	0.175168	-0.057694	1.430138
95.497159	214.665233	0.180173	-0.057785	1.436379
95.969793	220.692647	0.185178	-0.057875	1.442625
96.380718	226.732680	0.190182	-0.057954	1.448834
96.697734	232.758995	0.195187	-0.058015	1.454969
97.218221	238.752191	0.200192	-0.058114	1.461118
97.744289	244.772145	0.205197	-0.058214	1.467269
98.308460	250.759643	0.210202	-0.058321	1.473376
98.774207	256.844205	0.215206	-0.058410	1.479519
99.177518	262.843050	0.220211	-0.058487	1.485530
99.663540	268.850587	0.225216	-0.058580	1.491554
99.956779	274.907955	0.230221	-0.058637	1.497535
100.304249	280.925177	0.235226	-0.058703	1.503472
100.988358	286.883246	0.240230	-0.058833	1.509445
101.288030	292.971351	0.245235	-0.058891	1.515386
101.782105	298.944563	0.250240	-0.058985	1.521261
102.346614	304.970941	0.255245	-0.059092	1.527188
102.757353	310.995207	0.260250	-0.059171	1.533038
103.549128	316.983853	0.265254	-0.059321	1.538960
103.924437	323.043820	0.270259	-0.059393	1.544786
104.388310	329.051130	0.275264	-0.059481	1.550571
104.757806	335.083864	0.280269	-0.059552	1.556327
105.247162	341.106211	0.285274	-0.059646	1.562091
105.816924	347.073172	0.290278	-0.059754	1.567809
106.226111	353.149748	0.295283	-0.059832	1.573554
106.733783	359.142396	0.300288	-0.059929	1.579234
107.227685	365.167990	0.305293	-0.060023	1.584919
107.582584	371.190010	0.310298	-0.060091	1.590534
107.829814	377.242826	0.315302	-0.060139	1.596124
108.152426	383.244079	0.320307	-0.060201	1.601671
108.704633	389.234864	0.325312	-0.060306	1.607263
108.834014	395.310140	0.330317	-0.060332	1.612776
109.217031	401.301183	0.335322	-0.060405	1.618276
109.559821	407.318929	0.340326	-0.060471	1.623768
110.042660	413.295617	0.345331	-0.060563	1.629250
110.629348	419.300171	0.350336	-0.060675	1.634770
111.090408	425.351400	0.355341	-0.060763	1.640273
111.349415	431.383653	0.360346	-0.060813	1.645678
111.713548	437.401927	0.365350	-0.060883	1.651086
111.964953	443.423155	0.370355	-0.060931	1.656443
112.384902	449.422510	0.375360	-0.061012	1.661816
112.600304	455.460957	0.380365	-0.061054	1.667143
112.969297	461.460604	0.385370	-0.061124	1.672466
113.211562	467.492727	0.390374	-0.061171	1.677762
113.468449	473.516458	0.395379	-0.061221	1.683038
113.821751	479.487991	0.400384	-0.061289	1.688282
114.411515	485.505833	0.405389	-0.061401	1.693620
114.527116	491.582380	0.410394	-0.061424	1.698850
114.907121	497.550846	0.415398	-0.061497	1.704050
115.284421	503.559654	0.420403	-0.061569	1.709268
115.579580	509.600424	0.425408	-0.061626	1.714472
115.999187	515.582276	0.430413	-0.061706	1.719648
116.350429	521.637072	0.435418	-0.061774	1.724849
116.539727	527.658087	0.440422	-0.061811	1.729959
117.026970	533.627162	0.445427	-0.061904	1.735097
117.214513	539.697451	0.450432	-0.061940	1.740217
117.556526	545.693662	0.455437	-0.062006	1.745305
117.875252	551.684547	0.460442	-0.062067	1.750367
118.255004	557.726610	0.465446	-0.062140	1.755475
118.520996	563.745375	0.470451	-0.062191	1.760515
118.806066	569.748069	0.475456	-0.062246	1.765533
119.116137	575.757179	0.480461	-0.062306	1.770550
119.546178	581.771932	0.485466	-0.062388	1.775591
119.736198	587.817266	0.490470	-0.062425	1.780574
120.151290	593.792563	0.495475	-0.062505	1.785550
120.380851	599.818748	0.500480	-0.062549	1.790502
120.708871	605.839091	0.505485	-0.062612	1.795462
120.921250	611.863037	0.510490	-0.062654	1.800379
121.347030	617.856011	0.515494	-0.062735	1.805317
121.624244	623.882347	0.520499	-0.062789	1.810228
122.087498	629.866342	0.525504	-0.062877	1.815142
122.581906	635.882549	0.530509	-0.062971	1.820078
122.826601	641.925364	0.535514	-0.063019	1.824952
123.025933	647.947062	0.540518	-0.063058	1.829784
123.485184	653.930345	0.545523	-0.063145	1.834645
123.749028	659.962261	0.550528	-0.063196	1.839477
124.160312	665.966806	0.555533	-0.063275	1.844315
124.420916	671.991463	0.560538	-0.063325	1.849115
124.729238	678.025493	0.565542	-0.063385	1.853923
125.049395	684.015413	0.570547	-0.063446	1.858687
125.338842	690.030964	0.575552	-0.063502	1.863451
125.664639	696.041797	0.580557	-0.063565	1.868208
125.973381	702.052689	0.585562	-0.063624	1.872949
126.193714	708.077907	0.590566	-0.063667	1.877665
126.511827	714.100048	0.595571	-0.063728	1.882393
126.865016	720.078410	0.600576	-0.063796	1.887085
127.098540	726.134921	0.605581	-0.063841	1.891793
127.471898	732.116720	0.610586	-0.063913	1.896469
127.718213	738.133946	0.615590	-0.063960	1.901127
128.037579	744.152039	0.620595	-0.064022	1.905794
128.267080	750.184442	0.625600	-0.064066	1.910436
128.505872	756.169592	0.630605	-0.064113	1.915034
128.829357	762.198661	0.635610	-0.064175	1.919676
129.040795	768.207196	0.640614	-0.064216	1.924262
129.530850	774.192741	0.645619	-0.064309	1.928892
129.877032	780.221004	0.650624	-0.064376	1.933506
130.063527	786.277587	0.655629	-0.064412	1.938088
130.240359	792.249109	0.660634	-0.064447	1.942594
130.565719	798.275813	0.665638	-0.064510	1.947169
130.612676	804.301086	0.670643	-0.064520	1.951660
131.057308	810.271492	0.675648	-0.064605	1.956202
131.381925	816.289959	0.680653	-0.064667	1.960738
131.798937	822.307688	0.685658	-0.064747	1.965287
131.925314	828.334687	0.690662	-0.064772	1.969758
132.306243	834.351243	0.695667	-0.064845	1.974276
132.532853	840.348458	0.700672	-0.064889	1.978730
132.838807	846.364039	0.705677	-0.064948	1.983208
133.196137	852.376361	0.710682	-0.065017	1.987686
133.271903	858.418061	0.715686	-0.065032	1.992105
133.519775	864.418153	0.720691	-0.065080	1.996526
133.822830	870.404941	0.725696	-0.065139	2.000942
134.100035	876.437682	0.730701	-0.065192	2.005375
134.325986	882.441214	0.735706	-0.065236	2.009765
134.648914	888.439483	0.740710	-0.065298	2.014164
134.859613	894.495240	0.745715	-0.065339	2.018568
135.135214	900.463387	0.750720	-0.065392	2.022916
135.379074	906.508578	0.755725	-0.065440	2.027301
135.658886	912.476495	0.760730	-0.065494	2.031631
136.114153	918.504600	0.765734	-0.065580	2.036036
136.331896	924.521978	0.770739	-0.065623	2.040367
136.601661	930.539043	0.775744	-0.065675	2.044701
136.820577	936.534835	0.780749	-0.065717	2.048998
137.022819	942.597347	0.785754	-0.065757	2.053330
137.243991	948.577763	0.790758	-0.065800	2.057599
137.661421	954.554693	0.795763	-0.065880	2.061903
137.838031	960.595736	0.800768	-0.065914	2.066187
138.194292	966.591104	0.805773	-0.065983	2.070472
138.452154	972.624426	0.810778	-0.066033	2.074751
138.644127	978.647158	0.815782	-0.066070	2.078998
138.737408	984.655085	0.820787	-0.066089	2.083203
139.124186	990.652575	0.825792	-0.066163	2.087461
139.367787	996.657858	0.830797	-0.066210	2.091683
139.580033	1002.704439	0.835802	-0.066252	2.095917
139.792692	1008.673726	0.840806	-0.066293	2.100089
140.069006	1014.692486	0.845811	-0.066346	2.104302
140.310999	1020.714759	0.850816	-0.066393	2.108501
140.639137	1026.704883	0.855821	-0.066456	2.112689
140.839138	1032.751241	0.860826	-0.066495	2.116878
