Tue Nov 22 16:35:59 2022

Number of Points = 4300
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	-0.012449	0.000000	0.000021	0.458623

-0.039135	-0.068400	0.009997	0.000028	0.458391
-0.076223	-0.121782	0.019994	0.000035	0.458170
-0.103447	-0.175380	0.029990	0.000040	0.457960
-0.126066	-0.259357	0.039987	0.000044	0.457655
-0.122513	-0.333541	0.049984	0.000044	0.457415
-0.157610	-0.391798	0.059981	0.000050	0.457179
-0.141905	-0.473373	0.069978	0.000047	0.456930
-0.084471	-0.570501	0.079974	0.000036	0.456681
-0.188989	-0.624515	0.089971	0.000056	0.456372
-0.136472	-0.714967	0.099968	0.000046	0.456139
-0.127583	-0.788422	0.109965	0.000044	0.455907
-0.153457	-0.850417	0.119962	0.000049	0.455670
-0.271374	-0.876037	0.129958	0.000071	0.455438
-0.189494	-1.006166	0.139955	0.000056	0.455110
-0.285437	-1.040493	0.149952	0.000074	0.454876
-0.254977	-1.124829	0.159949	0.000068	0.454635
-0.318499	-1.174694	0.169946	0.000080	0.454390
-0.397140	-1.215975	0.179942	0.000094	0.454155
-0.359639	-1.321552	0.189939	0.000087	0.453851
-0.306966	-1.416695	0.199936	0.000077	0.453601
-0.411288	-1.448237	0.209933	0.000097	0.453365
-0.388693	-1.523728	0.219930	0.000092	0.453143
-0.399585	-1.584449	0.229926	0.000094	0.452927
-0.560190	-1.609305	0.239923	0.000124	0.452643
-0.525613	-1.707836	0.249920	0.000118	0.452358
-0.481338	-1.796898	0.259917	0.000109	0.452117
-0.585557	-1.828690	0.269914	0.000129	0.451880
-0.567739	-1.908107	0.279910	0.000126	0.451637
-0.800669	-1.896930	0.289907	0.000169	0.451381
-0.913360	-1.945163	0.299904	0.000190	0.451078
-1.071866	-1.957668	0.309901	0.000220	0.450837
-1.536328	-1.853153	0.319898	0.000307	0.450600
-1.749790	-1.845772	0.329894	0.000347	0.450356
-2.028007	-1.816943	0.339891	0.000399	0.450101
-2.443129	-1.743471	0.349888	0.000477	0.449823
-2.342363	-1.863932	0.359885	0.000458	0.449546
-2.570349	-1.849296	0.369882	0.000500	0.449307
-2.672879	-1.884599	0.379878	0.000520	0.449059
-2.814095	-1.905177	0.389875	0.000546	0.448811
-3.060360	-1.883725	0.399872	0.000592	0.448571
-3.026259	-1.987832	0.409869	0.000586	0.448264
-3.245405	-1.963356	0.419866	0.000627	0.448068
-3.432043	-1.964865	0.429862	0.000662	0.447827
-3.601563	-1.976193	0.439859	0.000693	0.447573
-3.915410	-1.931305	0.449856	0.000752	0.447326
-4.066411	-1.955164	0.459853	0.000780	0.447053
-4.023919	-2.054997	0.469850	0.000772	0.446770
-4.216412	-2.059202	0.479846	0.000808	0.446511
-4.284747	-2.106015	0.489843	0.000821	0.446266
-4.618479	-2.053488	0.499840	0.000884	0.446018
-4.831404	-2.045185	0.509837	0.000924	0.445775
-5.093508	-2.027590	0.519834	0.000973	0.445500
-5.207365	-2.069225	0.529830	0.000994	0.445214
-5.363461	-2.083607	0.539827	0.001023	0.444966
-5.336200	-2.166618	0.549824	0.001018	0.444719
-5.659134	-2.118525	0.559821	0.001078	0.444469
-5.811123	-2.131794	0.569818	0.001107	0.444230
-5.869931	-2.202435	0.579814	0.001118	0.443915
-5.959293	-2.242578	0.589811	0.001134	0.443664
-6.101076	-2.260794	0.599808	0.001161	0.443420
-5.971745	-2.378444	0.609805	0.001137	0.443186
-6.362989	-2.298895	0.619802	0.001210	0.442955
-6.535252	-2.311954	0.629798	0.001242	0.442689
-6.736955	-2.326708	0.639795	0.001280	0.442379
-6.803352	-2.376285	0.649792	0.001292	0.442125
-6.959565	-2.389550	0.659789	0.001322	0.441879
-7.182333	-2.378900	0.669786	0.001363	0.441629
-7.441962	-2.356013	0.679782	0.001412	0.441372
-7.580119	-2.376124	0.689779	0.001438	0.441126
-7.775799	-2.392335	0.699776	0.001474	0.440818
-7.896378	-2.418256	0.709773	0.001497	0.440573
-8.160838	-2.393661	0.719770	0.001546	0.440316
-8.344018	-2.399377	0.729766	0.001581	0.440060
-8.501537	-2.412557	0.739763	0.001610	0.439811
-8.579232	-2.458401	0.749760	0.001625	0.439554
-8.694736	-2.500876	0.759757	0.001646	0.439258
-8.529125	-2.643420	0.769754	0.001615	0.438983
-8.936423	-2.562586	0.779750	0.001691	0.438733
-9.000954	-2.609980	0.789747	0.001704	0.438487
-9.289315	-2.566895	0.799744	0.001758	0.438261
-9.376625	-2.595728	0.809741	0.001774	0.438048
-9.731847	-2.550751	0.819738	0.001840	0.437742
-9.568554	-2.693592	0.829734	0.001810	0.437462
-9.926485	-2.633646	0.839731	0.001877	0.437203
-10.111173	-2.637161	0.849728	0.001911	0.436951
-10.328561	-2.629392	0.859725	0.001952	0.436695
-10.470676	-2.651658	0.869722	0.001979	0.436432
-10.866873	-2.579204	0.879718	0.002053	0.436166
-10.904409	-2.651528	0.889715	0.002060	0.435867
-11.248154	-2.592937	0.899712	0.002124	0.435621
-11.130198	-2.713642	0.909709	0.002102	0.435357
-11.361683	-2.702710	0.919706	0.002145	0.435093
-11.315065	-2.794125	0.929702	0.002136	0.434837
-11.439940	-2.820862	0.939699	0.002160	0.434581
-11.517795	-2.873123	0.949696	0.002174	0.434298
-11.722330	-2.876996	0.959693	0.002213	0.434016
-11.993293	-2.848036	0.969690	0.002263	0.433761
-12.250938	-2.823608	0.979686	0.002312	0.433508
-12.376337	-2.844351	0.989683	0.002335	0.433272
-12.666199	-2.800295	0.999680	0.002389	0.433045
-12.867185	-2.806030	1.009677	0.002427	0.432760
-13.049262	-2.824950	1.019674	0.002461	0.432455
-13.308668	-2.802574	1.029670	0.002510	0.432192
-13.276696	-2.887679	1.039667	0.002504	0.431937
-13.750132	-2.785079	1.049664	0.002592	0.431671
-13.566188	-2.929724	1.059661	0.002558	0.431409
-14.055868	-2.816998	1.069658	0.002650	0.431157
-14.004250	-2.914109	1.079654	0.002640	0.430885
-14.462026	-2.823763	1.089651	0.002726	0.430597
-14.316310	-2.956823	1.099648	0.002698	0.430323
-14.567091	-2.936723	1.109645	0.002745	0.430062
-14.545896	-3.018934	1.119642	0.002741	0.429802
-14.656856	-3.051090	1.129638	0.002762	0.429542
-14.828755	-3.058885	1.139635	0.002794	0.429287
-15.076015	-3.046409	1.149632	0.002840	0.429003
-15.437799	-2.994411	1.159629	0.002908	0.428706
-15.565866	-3.018292	1.169626	0.002932	0.428452
-15.598583	-3.070227	1.179622	0.002938	0.428226
-15.895288	-3.029264	1.189619	0.002994	0.427976
-16.023973	-3.057708	1.199616	0.003018	0.427704
-16.115155	-3.098786	1.209613	0.003035	0.427438
-16.218624	-3.137310	1.219610	0.003054	0.427164
-16.401123	-3.154395	1.229606	0.003088	0.426861
-16.606772	-3.154257	1.239603	0.003127	0.426587
-16.884732	-3.122570	1.249600	0.003179	0.426328
-16.839557	-3.214351	1.259597	0.003170	0.426064
-17.083898	-3.194776	1.269594	0.003216	0.425807
-17.117107	-3.254873	1.279590	0.003222	0.425550
-17.307931	-3.261791	1.289587	0.003258	0.425270
-17.580372	-3.243429	1.299584	0.003309	0.424970
-17.661706	-3.291963	1.309581	0.003324	0.424689
-17.732888	-3.337439	1.319578	0.003337	0.424432
-17.944257	-3.334334	1.329574	0.003377	0.424160
-18.102469	-3.348357	1.339571	0.003407	0.423898
-18.523702	-3.263086	1.349568	0.003485	0.423635
-18.541004	-3.329820	1.359565	0.003489	0.423375
-18.951523	-3.241193	1.369562	0.003566	0.423138
-18.966820	-3.326764	1.379558	0.003568	0.422813
-19.183497	-3.319556	1.389555	0.003609	0.422547
-19.286092	-3.355692	1.399552	0.003628	0.422280
-19.245215	-3.446765	1.409549	0.003620	0.422009
-19.690728	-3.354339	1.419546	0.003704	0.421739
-19.762607	-3.404483	1.429542	0.003717	0.421462
-20.114747	-3.344539	1.439539	0.003783	0.421201
-20.093622	-3.432467	1.449536	0.003779	0.420915
-20.314378	-3.427154	1.459533	0.003820	0.420635
-20.595457	-3.400098	1.469530	0.003873	0.420352
-20.860374	-3.375644	1.479526	0.003923	0.420081
-20.904807	-3.433517	1.489523	0.003931	0.419813
-20.918879	-3.502270	1.499520	0.003934	0.419547
-21.002570	-3.545990	1.509517	0.003949	0.419276
-21.223335	-3.539759	1.519514	0.003991	0.418999
-21.465980	-3.524396	1.529510	0.004036	0.418724
-21.769686	-3.492880	1.539507	0.004093	0.418425
-21.841493	-3.524743	1.549504	0.004106	0.418212
-22.379422	-3.397291	1.559501	0.004207	0.417940
-22.552195	-3.409366	1.569498	0.004239	0.417661
-22.791621	-3.395056	1.579494	0.004284	0.417386
-22.975242	-3.401692	1.589491	0.004319	0.417112
-23.010978	-3.462327	1.599488	0.004325	0.416844
-23.306649	-3.429307	1.609485	0.004381	0.416559
-23.321476	-3.504374	1.619482	0.004383	0.416267
-23.466227	-3.528648	1.629478	0.004410	0.415981
-23.865688	-3.449337	1.639475	0.004485	0.415722
-23.843377	-3.535573	1.649472	0.004481	0.415440
-24.021188	-3.544592	1.659469	0.004514	0.415163
-23.994412	-3.630275	1.669466	0.004509	0.414889
-24.065386	-3.678359	1.679462	0.004522	0.414616
-24.208738	-3.699214	1.689459	0.004549	0.414344
-24.222735	-3.771306	1.699456	0.004552	0.414062
-24.592377	-3.713685	1.709453	0.004621	0.413763
-24.939980	-3.657652	1.719450	0.004686	0.413489
-25.213659	-3.619891	1.729446	0.004737	0.413250
-25.464987	-3.601448	1.739443	0.004784	0.412971
-25.528502	-3.653833	1.749440	0.004796	0.412692
-25.881633	-3.596006	1.759437	0.004862	0.412416
-26.116220	-3.583011	1.769434	0.004906	0.412140
-26.041683	-3.686584	1.779430	0.004892	0.411864
-26.436427	-3.616565	1.789427	0.004966	0.411575
-26.428405	-3.697777	1.799424	0.004965	0.411288
-26.792386	-3.640510	1.809421	0.005033	0.410994
-27.004846	-3.632854	1.819418	0.005073	0.410728
-27.320671	-3.590620	1.829414	0.005132	0.410445
-27.582824	-3.568030	1.839411	0.005181	0.410164
-27.854706	-3.542498	1.849408	0.005232	0.409881
-28.022994	-3.553306	1.859405	0.005263	0.409607
-28.215573	-3.556048	1.869402	0.005299	0.409329
-28.482301	-3.532693	1.879398	0.005349	0.409044
-28.602971	-3.559727	1.889395	0.005372	0.408776
-28.819741	-3.560667	1.899392	0.005412	0.408471
-29.106570	-3.514051	1.909389	0.005466	0.408243
-29.182086	-3.563723	1.919386	0.005480	0.407954
-29.575409	-3.490672	1.929382	0.005554	0.407675
-29.621473	-3.548688	1.939379	0.005563	0.407396
-29.893497	-3.521942	1.949376	0.005613	0.407115
-29.978507	-3.566729	1.959373	0.005629	0.406830
-30.094184	-3.599717	1.969370	0.005651	0.406546
-30.158669	-3.649887	1.979366	0.005663	0.406269
-30.323065	-3.656350	1.989363	0.005694	0.406015
-28.939647	-3.485237	1.999360	0.005434	0.408589

-25.961854	-3.147007	2.009357	0.004875	0.413965
-23.099633	-2.763917	2.019354	0.004338	0.419276
-20.016592	-2.460912	2.029350	0.003759	0.424531
-16.910060	-2.169797	2.039347	0.003176	0.429710
-13.941536	-1.825956	2.049344	0.002619	0.434829
-10.551312	-1.644384	2.059341	0.001983	0.439876
-8.086172	-1.108294	2.069338	0.001520	0.444885
-5.792364	-0.510888	2.079334	0.001089	0.449826
-4.575680	0.495102	2.089331	0.000861	0.454720
-3.741941	1.643358	2.099328	0.000704	0.459555
-3.392434	2.980270	2.109325	0.000638	0.464359
-2.968960	4.281704	2.119322	0.000558	0.469089
-2.828825	5.693348	2.129318	0.000531	0.473783
-2.565718	7.056826	2.139315	0.000481	0.478425
-2.379239	8.453262	2.149312	0.000446	0.483035
-2.229954	9.860859	2.159309	0.000417	0.487593
-2.187821	11.308899	2.169306	0.000409	0.492109
-1.940429	12.680502	2.179302	0.000362	0.496586
-1.729728	14.064145	2.189299	0.000322	0.501018
-1.540317	15.464329	2.199296	0.000286	0.505436
-1.340963	16.848612	2.209293	0.000248	0.509780
-1.432974	18.346678	2.219290	0.000265	0.514099
-1.280741	19.752303	2.229286	0.000236	0.518381
-1.096272	21.148922	2.239283	0.000201	0.522637
-0.991188	22.574282	2.249280	0.000181	0.526855
-0.844026	23.981578	2.259277	0.000153	0.531034
-0.671522	25.381460	2.269274	0.000120	0.535185
-0.569187	26.803999	2.279270	0.000101	0.539294
-0.464701	28.234594	2.289267	0.000081	0.543397
-0.380672	29.666181	2.299264	0.000064	0.547450
-0.337954	31.110029	2.309261	0.000056	0.551465
-0.263778	32.550789	2.319258	0.000041	0.555474
-0.027796	33.919303	2.329254	-0.000003	0.559424
0.135359	35.327800	2.339251	-0.000034	0.563380
0.194624	36.772888	2.349248	-0.000046	0.567301
0.165831	38.245025	2.359245	-0.000041	0.571180
0.126232	39.728429	2.369242	-0.000034	0.575052
