Tue Nov 22 17:50:22 2022

Number of Points = 4300
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	-0.123970	0.000000	-0.000029	0.458597

-0.119069	-0.149012	0.009997	-0.000007	0.458368
-0.200978	-0.185520	0.019994	0.000008	0.458146
-0.200446	-0.242886	0.029990	0.000008	0.457958
-0.181419	-0.350165	0.039987	0.000004	0.457629
-0.027310	-0.481578	0.049984	-0.000025	0.457387
-0.077526	-0.535628	0.059981	-0.000015	0.457147
-0.099912	-0.599580	0.069978	-0.000011	0.456908
-0.113090	-0.665407	0.079974	-0.000009	0.456675
-0.172410	-0.736946	0.089971	0.000002	0.456365
-0.444634	-0.709941	0.099968	0.000053	0.456115
-0.153941	-0.890582	0.109965	-0.000001	0.455880
-0.367533	-0.881777	0.119962	0.000039	0.455643
-0.342485	-0.960564	0.129958	0.000034	0.455414
-0.333521	-1.053416	0.139955	0.000032	0.455117
-0.175693	-1.193705	0.149952	0.000002	0.454850
-0.319968	-1.212336	0.159949	0.000029	0.454608
-0.206150	-1.327382	0.169946	0.000008	0.454369
-0.296784	-1.365343	0.179942	0.000025	0.454130
-0.165602	-1.495984	0.189939	0.000000	0.453860
-0.276583	-1.537958	0.199936	0.000021	0.453582
-0.310805	-1.596494	0.209933	0.000027	0.453344
-0.322926	-1.657785	0.219930	0.000029	0.453126
-0.429889	-1.683064	0.229926	0.000049	0.452907
-0.425351	-1.762189	0.239923	0.000048	0.452650
-0.435166	-1.851840	0.249920	0.000050	0.452339
-0.417779	-1.931574	0.259917	0.000047	0.452095
-0.432511	-1.997636	0.269914	0.000049	0.451856
-0.628997	-1.997458	0.279910	0.000086	0.451610
-0.709726	-2.043117	0.289907	0.000101	0.451356
-0.932650	-2.042265	0.299904	0.000143	0.451078
-1.058438	-2.076552	0.309901	0.000167	0.450805
-1.266177	-2.067341	0.319898	0.000205	0.450573
-1.513704	-2.046838	0.329894	0.000252	0.450330
-1.761088	-2.029759	0.339891	0.000298	0.450075
-1.895873	-2.052592	0.349888	0.000323	0.449828
-2.154125	-2.047291	0.359885	0.000372	0.449519
-2.262289	-2.077110	0.369882	0.000392	0.449283
-2.611620	-2.019691	0.379878	0.000457	0.449033
-2.616639	-2.092051	0.389875	0.000458	0.448784
-2.921019	-2.047604	0.399872	0.000515	0.448548
-3.162639	-2.040485	0.409869	0.000560	0.448265
-3.336381	-2.039285	0.419866	0.000593	0.448049
-3.421515	-2.080950	0.429862	0.000609	0.447801
-3.735460	-2.037171	0.439859	0.000668	0.447550
-3.763371	-2.100950	0.449856	0.000673	0.447299
-3.936159	-2.110179	0.459853	0.000705	0.447049
-4.077247	-2.145027	0.469850	0.000731	0.446752
-4.275711	-2.148602	0.479846	0.000769	0.446487
-4.461499	-2.150771	0.489843	0.000803	0.446243
-4.498871	-2.209344	0.499840	0.000810	0.445998
-4.703477	-2.205315	0.509837	0.000849	0.445751
-4.813332	-2.236789	0.519834	0.000869	0.445504
-5.042178	-2.243304	0.529830	0.000912	0.445190
-5.054403	-2.311869	0.539827	0.000914	0.444942
-5.289647	-2.297200	0.549824	0.000958	0.444691
-5.233584	-2.391729	0.559821	0.000948	0.444442
-5.578508	-2.332708	0.569818	0.001012	0.444201
-5.605913	-2.406290	0.579814	0.001017	0.443917
-5.947697	-2.359519	0.589811	0.001081	0.443637
-5.994929	-2.413682	0.599808	0.001090	0.443393
-6.218407	-2.396542	0.609805	0.001132	0.443165
-6.376701	-2.405675	0.619802	0.001161	0.442931
-6.516262	-2.430606	0.629798	0.001188	0.442667
-6.778540	-2.413808	0.639795	0.001237	0.442387
-6.897030	-2.453348	0.649792	0.001259	0.442100
-6.858244	-2.540726	0.659789	0.001251	0.441852
-7.178868	-2.493189	0.669786	0.001311	0.441601
-7.201433	-2.560399	0.679782	0.001316	0.441343
-7.403462	-2.557263	0.689779	0.001353	0.441093
-7.633139	-2.552159	0.699776	0.001396	0.440814
-7.677418	-2.614256	0.709773	0.001405	0.440545
-8.010353	-2.564619	0.719770	0.001467	0.440285
-8.057555	-2.622354	0.729766	0.001476	0.440026
-8.354822	-2.583716	0.739763	0.001531	0.439775
-8.451901	-2.620841	0.749760	0.001550	0.439522
-8.552628	-2.660682	0.759757	0.001568	0.439255
-8.937868	-2.603300	0.769754	0.001641	0.438953
-8.996282	-2.651481	0.779750	0.001651	0.438712
-9.213243	-2.642905	0.789747	0.001692	0.438460
-9.343607	-2.660564	0.799744	0.001716	0.438230
-9.409855	-2.698821	0.809741	0.001729	0.438013
-9.722945	-2.659542	0.819738	0.001787	0.437741
-9.707971	-2.756017	0.829734	0.001784	0.437428
-9.847252	-2.778033	0.839731	0.001811	0.437172
-10.071852	-2.765614	0.849728	0.001853	0.436922
-10.218661	-2.784702	0.859725	0.001880	0.436665
-10.171117	-2.878832	0.869722	0.001871	0.436402
-10.472969	-2.837769	0.879718	0.001928	0.436151
-10.737559	-2.823063	0.889715	0.001977	0.435856
-10.905097	-2.834936	0.899712	0.002008	0.435597
-10.960083	-2.890759	0.909709	0.002019	0.435332
-11.366449	-2.812545	0.919706	0.002095	0.435072
-11.416099	-2.866577	0.929702	0.002104	0.434819
-11.707751	-2.831127	0.939699	0.002159	0.434561
-11.707001	-2.907054	0.949696	0.002158	0.434298
-12.168388	-2.822768	0.959693	0.002245	0.433987
-12.153445	-2.900977	0.969690	0.002242	0.433734
-12.419458	-2.872511	0.979686	0.002292	0.433485
-12.433135	-2.935043	0.989683	0.002294	0.433249
-12.754545	-2.880847	0.999680	0.002354	0.433016
-12.845954	-2.925468	1.009677	0.002372	0.432740
-13.190026	-2.878240	1.019674	0.002436	0.432453
-13.032615	-3.020271	1.029670	0.002406	0.432164
-13.464337	-2.930246	1.039667	0.002487	0.431910
-13.303956	-3.065326	1.049664	0.002457	0.431650
-13.746246	-2.974782	1.059661	0.002540	0.431383
-13.770083	-3.039136	1.069658	0.002544	0.431127
-14.194456	-2.952562	1.079654	0.002624	0.430870
-14.163835	-3.045715	1.089651	0.002618	0.430584
-14.365857	-3.052268	1.099648	0.002656	0.430294
-14.668452	-3.012487	1.109645	0.002713	0.430034
-14.810154	-3.033637	1.119642	0.002739	0.429772
-14.822963	-3.101744	1.129638	0.002741	0.429516
-15.263762	-3.009666	1.139635	0.002824	0.429256
-15.367768	-3.047033	1.149632	0.002843	0.428986
-15.571182	-3.053857	1.159629	0.002881	0.428693
-15.553983	-3.135428	1.169626	0.002878	0.428428
