Tue Nov 22 16:39:25 2022

Number of Points = 4300
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	0.016975	0.000000	0.000033	0.457324

0.079574	-0.086124	0.009997	0.000018	0.457083
0.028995	-0.137915	0.019994	0.000027	0.456849
-0.060117	-0.175789	0.029990	0.000044	0.456613
-0.019017	-0.268881	0.039987	0.000036	0.456357
0.049231	-0.387101	0.049984	0.000023	0.456051
-0.010630	-0.435574	0.059981	0.000035	0.455817
0.052433	-0.529968	0.069978	0.000023	0.455583
-0.037647	-0.567113	0.079974	0.000039	0.455348
-0.091645	-0.622561	0.089971	0.000050	0.455097
-0.112422	-0.704647	0.099968	0.000053	0.454799
-0.255454	-0.727460	0.109965	0.000080	0.454544
-0.274538	-0.791758	0.119962	0.000084	0.454307
-0.091994	-0.931731	0.129958	0.000049	0.454071
-0.310652	-0.923200	0.139955	0.000090	0.453826
-0.096547	-1.086533	0.149952	0.000050	0.453552
-0.256313	-1.109236	0.159949	0.000080	0.453276
-0.344656	-1.137863	0.169946	0.000096	0.453070
-0.281334	-1.231674	0.179942	0.000084	0.452837
-0.243584	-1.322499	0.189939	0.000077	0.452582
-0.317630	-1.370580	0.199936	0.000091	0.452329
-0.135630	-1.530631	0.209933	0.000057	0.452024
-0.411315	-1.498643	0.219930	0.000109	0.451784
-0.247170	-1.634101	0.229926	0.000078	0.451539
-0.512574	-1.607908	0.239923	0.000127	0.451292
-0.586504	-1.651137	0.249920	0.000141	0.451055
-0.620975	-1.726956	0.259917	0.000148	0.450758
-0.516312	-1.840757	0.269914	0.000128	0.450509
-0.579669	-1.891332	0.279910	0.000140	0.450260
-0.643495	-1.942144	0.289907	0.000152	0.450009
-0.818926	-1.947049	0.299904	0.000184	0.449771
-0.884271	-2.000880	0.309901	0.000197	0.449508
-1.008365	-2.039558	0.319898	0.000220	0.449221
-1.027320	-2.107630	0.329894	0.000223	0.448969
-0.948953	-2.210244	0.339891	0.000208	0.448724
-1.023343	-2.253404	0.349888	0.000222	0.448485
-1.334548	-2.207076	0.359885	0.000281	0.448246
-1.453764	-2.231397	0.369882	0.000303	0.448013
-1.410239	-2.331275	0.379878	0.000295	0.447732
-1.644909	-2.315198	0.389875	0.000339	0.447488
-1.738003	-2.354425	0.399872	0.000356	0.447238
-1.776900	-2.413417	0.409869	0.000363	0.446989
-1.945785	-2.421569	0.419866	0.000395	0.446747
-2.221006	-2.413971	0.429862	0.000446	0.446422
-2.452252	-2.398000	0.439859	0.000490	0.446182
-2.638314	-2.400083	0.449856	0.000524	0.445937
-2.763751	-2.424787	0.459853	0.000548	0.445694
-3.215256	-2.326294	0.469850	0.000633	0.445451
-3.329085	-2.367340	0.479846	0.000654	0.445167
-3.509505	-2.384501	0.489843	0.000688	0.444878
-3.642019	-2.406706	0.499840	0.000712	0.444633
-3.752468	-2.438080	0.509837	0.000733	0.444386
-3.924749	-2.448328	0.519834	0.000765	0.444131
-4.133093	-2.442495	0.529830	0.000804	0.443884
-4.065461	-2.548366	0.539827	0.000791	0.443611
-4.155568	-2.596714	0.549824	0.000808	0.443331
-4.381302	-2.575973	0.559821	0.000851	0.443112
-4.442704	-2.624669	0.569818	0.000862	0.442867
-4.614388	-2.636370	0.579814	0.000894	0.442607
-4.998333	-2.565232	0.589811	0.000966	0.442356
-5.080114	-2.617355	0.599808	0.000981	0.442073
-5.464526	-2.552759	0.609805	0.001053	0.441799
-5.599636	-2.578207	0.619802	0.001079	0.441538
-6.049920	-2.482556	0.629798	0.001163	0.441285
-6.078629	-2.544631	0.639795	0.001168	0.441036
-6.490123	-2.461122	0.649792	0.001245	0.440790
-6.446679	-2.556041	0.659789	0.001237	0.440522
-6.890696	-2.476947	0.669786	0.001320	0.440219
-6.761282	-2.600089	0.679782	0.001296	0.439965
-7.216995	-2.501015	0.689779	0.001381	0.439715
-7.044064	-2.638432	0.699776	0.001349	0.439467
-7.259205	-2.630066	0.709773	0.001389	0.439218
-7.227870	-2.725119	0.719770	0.001383	0.438932
-7.398047	-2.742916	0.729766	0.001415	0.438650
-7.426481	-2.803818	0.739763	0.001420	0.438404
-7.661014	-2.779607	0.749760	0.001464	0.438183
-7.792200	-2.798531	0.759757	0.001489	0.437948
-8.058512	-2.775935	0.769754	0.001539	0.437680
-8.005874	-2.870193	0.779750	0.001529	0.437423
-8.373567	-2.822411	0.789747	0.001598	0.437110
-8.594104	-2.811252	0.799744	0.001639	0.436861
-8.741499	-2.830851	0.809741	0.001666	0.436602
-8.906451	-2.842506	0.819738	0.001697	0.436347
-9.160446	-2.819791	0.829734	0.001745	0.436094
-9.358344	-2.817982	0.839731	0.001782	0.435842
-9.508256	-2.844214	0.849728	0.001810	0.435556
-9.591217	-2.897756	0.859725	0.001825	0.435262
-9.742932	-2.914423	0.869722	0.001854	0.435006
-9.892998	-2.932152	0.879718	0.001882	0.434748
-10.047788	-2.946661	0.889715	0.001911	0.434495
-10.124852	-2.989969	0.899712	0.001925	0.434244
-10.391912	-2.968464	0.909709	0.001975	0.433969
-10.462729	-3.026331	0.919706	0.001988	0.433675
-10.613909	-3.042536	0.929702	0.002017	0.433420
-10.732245	-3.064469	0.939699	0.002039	0.433189
-10.872555	-3.082867	0.949696	0.002065	0.432940
-11.270013	-3.008944	0.959693	0.002139	0.432675
-11.410549	-3.029161	0.969690	0.002166	0.432420
-11.687853	-3.007038	0.979686	0.002218	0.432132
-11.809224	-3.042813	0.989683	0.002240	0.431848
-11.886515	-3.090210	0.999680	0.002255	0.431580
-12.175412	-3.055677	1.009677	0.002309	0.431320
-12.533851	-2.993354	1.019674	0.002376	0.431065
-12.533727	-3.065611	1.029670	0.002376	0.430813
-12.691942	-3.077492	1.039667	0.002406	0.430562
-12.806415	-3.122011	1.049664	0.002427	0.430255
-12.875612	-3.175658	1.059661	0.002440	0.429975
-12.996740	-3.204135	1.069658	0.002463	0.429715
-13.143392	-3.222249	1.079654	0.002490	0.429457
-13.318799	-3.231409	1.089651	0.002523	0.429193
-13.598448	-3.201577	1.099648	0.002575	0.428927
-13.512849	-3.305960	1.109645	0.002559	0.428673
-13.824997	-3.268922	1.119642	0.002617	0.428389
-13.940757	-3.290803	1.129638	0.002639	0.428159
-14.109871	-3.303767	1.139635	0.002671	0.427888
-14.471661	-3.243633	1.149632	0.002739	0.427619
-14.608996	-3.266977	1.159629	0.002764	0.427354
-14.613257	-3.340114	1.169626	0.002765	0.427090
-14.974531	-3.279058	1.179622	0.002833	0.426824
-15.136222	-3.301120	1.189619	0.002863	0.426531
-15.432816	-3.270752	1.199616	0.002918	0.426242
-15.696352	-3.246117	1.209613	0.002968	0.425978
-15.734372	-3.303675	1.219610	0.002975	0.425723
-16.025134	-3.269048	1.229606	0.003029	0.425457
-15.989037	-3.359663	1.239603	0.003022	0.425184
