Tue Nov 22 16:22:09 2022

Number of Points = 4300
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	0.096580	0.000000	0.000068	0.456207

-0.006971	0.027814	0.009997	0.000070	0.455971
-0.066238	-0.022030	0.019994	0.000081	0.455732
0.037709	-0.149679	0.029990	0.000061	0.455439
-0.026269	-0.203442	0.039987	0.000073	0.455181
-0.052003	-0.265924	0.049984	0.000078	0.454941
0.003278	-0.358181	0.059981	0.000068	0.454705
0.087266	-0.462697	0.069978	0.000052	0.454463
-0.036903	-0.502426	0.079974	0.000075	0.454175
-0.082759	-0.567221	0.089971	0.000084	0.453903
-0.120086	-0.623497	0.099968	0.000091	0.453669
-0.062959	-0.715430	0.109965	0.000080	0.453435
-0.054587	-0.788635	0.119962	0.000078	0.453202
-0.019997	-0.869219	0.129958	0.000072	0.452977
-0.203081	-0.891010	0.139955	0.000106	0.452674
-0.182890	-0.971902	0.149952	0.000102	0.452430
-0.256436	-1.016628	0.159949	0.000116	0.452188
-0.075060	-1.158758	0.169946	0.000082	0.451942
-0.118920	-1.212582	0.179942	0.000090	0.451707
-0.109706	-1.313660	0.189939	0.000088	0.451381
-0.222319	-1.342644	0.199936	0.000109	0.451142
-0.144215	-1.443777	0.209933	0.000095	0.450902
-0.260997	-1.470413	0.219930	0.000117	0.450666
-0.191168	-1.567709	0.229926	0.000103	0.450428
-0.311402	-1.610828	0.239923	0.000126	0.450132
-0.220474	-1.726040	0.249920	0.000109	0.449860
-0.309294	-1.765698	0.259917	0.000125	0.449615
-0.348362	-1.822802	0.269914	0.000133	0.449374
-0.517575	-1.832337	0.279910	0.000164	0.449128
-0.489562	-1.918008	0.289907	0.000159	0.448875
-0.643973	-1.949855	0.299904	0.000188	0.448572
-0.847053	-1.944871	0.309901	0.000226	0.448331
-0.921965	-1.978202	0.319898	0.000240	0.448124
-0.883934	-2.059537	0.329894	0.000233	0.447899
-1.315798	-1.974043	0.339891	0.000314	0.447638
-1.370927	-2.034618	0.349888	0.000324	0.447364
-1.737796	-1.983626	0.359885	0.000393	0.447069
-1.793336	-2.034235	0.369882	0.000403	0.446827
-2.054250	-2.009614	0.379878	0.000452	0.446578
-2.027479	-2.092910	0.389875	0.000447	0.446331
-2.293528	-2.065461	0.399872	0.000497	0.446084
-2.453919	-2.090507	0.409869	0.000527	0.445795
-2.817153	-2.029375	0.419866	0.000595	0.445538
-3.024952	-2.026356	0.429862	0.000634	0.445282
-3.266175	-2.009765	0.439859	0.000679	0.445030
-3.293912	-2.070784	0.449856	0.000685	0.444788
-3.196126	-2.181551	0.459853	0.000666	0.444537
-3.356088	-2.209744	0.469850	0.000696	0.444237
-3.567945	-2.207349	0.479846	0.000736	0.443973
-3.878926	-2.163062	0.489843	0.000794	0.443725
-3.825643	-2.255041	0.499840	0.000784	0.443481
-3.888060	-2.300814	0.509837	0.000796	0.443245
-4.132149	-2.271603	0.519834	0.000841	0.443031
-4.372227	-2.279563	0.529830	0.000886	0.442695
-4.612668	-2.263102	0.539827	0.000932	0.442442
-4.982866	-2.197650	0.549824	0.001001	0.442189
-4.921776	-2.292826	0.559821	0.000989	0.441943
-5.293989	-2.225317	0.569818	0.001059	0.441694
-5.043904	-2.397108	0.579814	0.001012	0.441429
-5.291241	-2.393778	0.589811	0.001059	0.441121
-5.352950	-2.443482	0.599808	0.001070	0.440872
-5.707981	-2.381101	0.609805	0.001137	0.440627
-5.703418	-2.455711	0.619802	0.001136	0.440377
-6.073993	-2.393086	0.629798	0.001205	0.440113
-6.039329	-2.478022	0.639795	0.001199	0.439866
-6.240268	-2.492702	0.649792	0.001236	0.439556
-6.357136	-2.522460	0.659789	0.001258	0.439302
-6.543541	-2.526214	0.669786	0.001293	0.439048
-6.893869	-2.468469	0.679782	0.001359	0.438792
-6.969865	-2.511567	0.689779	0.001373	0.438545
-7.232459	-2.483195	0.699776	0.001422	0.438302
-7.483275	-2.457267	0.709773	0.001469	0.438065
-7.422627	-2.564418	0.719770	0.001458	0.437775
-7.612417	-2.568443	0.729766	0.001493	0.437514
-7.640817	-2.631344	0.739763	0.001499	0.437260
-7.926122	-2.597267	0.749760	0.001552	0.437006
-8.029615	-2.632236	0.759757	0.001572	0.436750
-8.352135	-2.592677	0.769754	0.001632	0.436467
-8.623277	-2.573462	0.779750	0.001683	0.436179
-8.575802	-2.665393	0.789747	0.001674	0.435923
-8.667831	-2.701089	0.799744	0.001691	0.435679
-8.789048	-2.729482	0.809741	0.001714	0.435423
-9.153760	-2.669069	0.819738	0.001782	0.435155
-9.289466	-2.691298	0.829734	0.001808	0.434900
-9.539230	-2.686071	0.839731	0.001854	0.434591
-9.751166	-2.680340	0.849728	0.001894	0.434333
-9.872207	-2.709151	0.859725	0.001917	0.434075
-9.883673	-2.779081	0.869722	0.001919	0.433816
-10.086865	-2.775260	0.879718	0.001957	0.433563
-10.415428	-2.721494	0.889715	0.002019	0.433319
-10.633078	-2.705974	0.899712	0.002059	0.433087
-10.811316	-2.729437	0.909709	0.002093	0.432770
-10.713643	-2.841215	0.919706	0.002074	0.432509
-10.827371	-2.873408	0.929702	0.002096	0.432247
-11.044917	-2.864909	0.939699	0.002136	0.431990
