Tue Nov 22 17:57:15 2022

Number of Points = 4300
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	0.033862	0.000000	0.000045	0.459571

0.230848	-0.123866	0.009997	0.000002	0.459339
0.038599	-0.122642	0.019994	0.000038	0.459106
-0.075014	-0.165810	0.029990	0.000059	0.458824
0.130239	-0.324626	0.039987	0.000021	0.458556
0.082635	-0.376936	0.049984	0.000029	0.458326
0.175578	-0.476606	0.059981	0.000012	0.458113
0.037620	-0.484613	0.069978	0.000038	0.457916
-0.099071	-0.521198	0.079974	0.000063	0.457626
0.080173	-0.672800	0.089971	0.000029	0.457350
-0.003836	-0.714613	0.099968	0.000045	0.457108
-0.013724	-0.783523	0.109965	0.000047	0.456868
0.137790	-0.912306	0.119962	0.000018	0.456632
0.037304	-0.956738	0.129958	0.000037	0.456361
-0.192895	-0.956591	0.139955	0.000080	0.456074
-0.104051	-1.062501	0.149952	0.000063	0.455835
-0.213024	-1.091144	0.159949	0.000084	0.455605
-0.091621	-1.207256	0.169946	0.000061	0.455373
-0.000563	-1.319835	0.179942	0.000044	0.455114
-0.236579	-1.323279	0.189939	0.000088	0.454808
-0.226643	-1.399971	0.199936	0.000086	0.454566
-0.314594	-1.438756	0.209933	0.000102	0.454328
-0.520715	-1.432597	0.219930	0.000141	0.454090
-0.648481	-1.459237	0.229926	0.000165	0.453842
-1.133526	-1.364254	0.239923	0.000255	0.453550
-1.347241	-1.359361	0.249920	0.000295	0.453299
-1.684922	-1.296587	0.259917	0.000359	0.453084
-1.788531	-1.326325	0.269914	0.000378	0.452856
-1.975083	-1.331500	0.279910	0.000413	0.452605
-2.154625	-1.345266	0.289907	0.000446	0.452333
-2.304757	-1.374285	0.299904	0.000474	0.452048
-2.480633	-1.379646	0.309901	0.000507	0.451809
-2.819476	-1.325700	0.319898	0.000571	0.451563
-2.760944	-1.422286	0.329894	0.000560	0.451315
-3.134267	-1.353760	0.339891	0.000630	0.451073
-3.152482	-1.439612	0.349888	0.000633	0.450764
-3.349392	-1.434876	0.359885	0.000670	0.450531
-3.404496	-1.488455	0.369882	0.000680	0.450283
-3.397578	-1.566225	0.379878	0.000679	0.450031
-3.540137	-1.584421	0.389875	0.000705	0.449790
-3.824076	-1.562508	0.399872	0.000758	0.449505
-3.857442	-1.631634	0.409869	0.000765	0.449231
-4.064425	-1.626818	0.419866	0.000803	0.448986
-4.418743	-1.566309	0.429862	0.000870	0.448740
-4.337224	-1.668038	0.439859	0.000854	0.448502
-4.467623	-1.691350	0.449856	0.000879	0.448259
-4.742546	-1.660644	0.459853	0.000930	0.448013
-4.801650	-1.716789	0.469850	0.000941	0.447750
-5.053325	-1.695647	0.479846	0.000988	0.447502
-5.184306	-1.719687	0.489843	0.001013	0.447254
-5.238151	-1.773012	0.499840	0.001023	0.447006
-5.639093	-1.699856	0.509837	0.001098	0.446743
-5.627984	-1.794766	0.519834	0.001095	0.446437
-5.818463	-1.794595	0.529830	0.001131	0.446195
-6.234325	-1.710452	0.539827	0.001209	0.445950
-6.139115	-1.818390	0.549824	0.001191	0.445707
-6.441484	-1.774408	0.559821	0.001248	0.445470
-6.677066	-1.774600	0.569818	0.001292	0.445169
-6.931149	-1.758951	0.579814	0.001339	0.444897
-6.936375	-1.831674	0.589811	0.001340	0.444644
-7.177862	-1.812865	0.599808	0.001385	0.444399
-7.063549	-1.928333	0.609805	0.001364	0.444154
-7.512074	-1.833780	0.619802	0.001448	0.443901
-7.500345	-1.923755	0.629798	0.001445	0.443611
-7.780615	-1.895833	0.639795	0.001498	0.443346
-7.853637	-1.932785	0.649792	0.001511	0.443127
-7.945360	-1.969786	0.659789	0.001529	0.442884
-8.075740	-1.997613	0.669786	0.001553	0.442622
