Tue Nov 22 16:15:37 2022

Number of Points = 4300
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	-0.120584	0.000000	-0.000017	0.455137

-0.074797	-0.164355	0.009997	-0.000003	0.454898
-0.189061	-0.193299	0.019994	0.000018	0.454659
-0.175384	-0.272241	0.029990	0.000016	0.454413
-0.163349	-0.349573	0.039987	0.000013	0.454171
-0.194100	-0.433011	0.049984	0.000019	0.453855
-0.105807	-0.536092	0.059981	0.000003	0.453623
-0.050839	-0.627532	0.069978	-0.000008	0.453387
-0.085847	-0.682973	0.079974	-0.000001	0.453159
-0.211013	-0.696785	0.089971	0.000022	0.452955
-0.198568	-0.795604	0.099968	0.000020	0.452641
-0.286398	-0.839142	0.109965	0.000036	0.452385
-0.300076	-0.907200	0.119962	0.000039	0.452141
-0.299383	-0.979714	0.129958	0.000039	0.451899
-0.120486	-1.119436	0.139955	0.000005	0.451658
-0.247819	-1.154819	0.149952	0.000029	0.451379
-0.217327	-1.249045	0.159949	0.000024	0.451102
-0.441501	-1.237271	0.169946	0.000066	0.450858
-0.442474	-1.307601	0.179942	0.000066	0.450621
-0.383355	-1.402119	0.189939	0.000055	0.450379
-0.248140	-1.529652	0.199936	0.000029	0.450122
-0.367754	-1.575433	0.209933	0.000052	0.449817
-0.245461	-1.694882	0.219930	0.000029	0.449571
-0.348611	-1.726867	0.229926	0.000048	0.449333
-0.387178	-1.784682	0.239923	0.000055	0.449089
-0.516443	-1.811639	0.249920	0.000080	0.448835
-0.546081	-1.879505	0.259917	0.000085	0.448568
-0.668837	-1.917118	0.269914	0.000108	0.448286
-0.363465	-2.092267	0.279910	0.000051	0.448084
-0.529541	-2.099181	0.289907	0.000082	0.447849
-0.484506	-2.190883	0.299904	0.000074	0.447597
-0.542036	-2.239102	0.309901	0.000085	0.447361
-0.582246	-2.314920	0.319898	0.000092	0.447054
-0.580989	-2.391063	0.329894	0.000092	0.446798
-0.510516	-2.492544	0.339891	0.000079	0.446545
-0.787516	-2.461658	0.349888	0.000131	0.446296
-0.648537	-2.586461	0.359885	0.000105	0.446051
-0.923471	-2.557102	0.369882	0.000156	0.445799
-0.933164	-2.641092	0.379878	0.000158	0.445502
-1.267917	-2.592265	0.389875	0.000221	0.445239
-1.419466	-2.609563	0.399872	0.000249	0.444986
-1.833197	-2.524583	0.409869	0.000327	0.444745
-1.902244	-2.571239	0.419866	0.000340	0.444498
-2.127494	-2.562126	0.429862	0.000382	0.444240
-2.274711	-2.597133	0.439859	0.000410	0.443932
-2.638453	-2.533029	0.449856	0.000478	0.443683
-2.733830	-2.567043	0.459853	0.000496	0.443445
-2.942167	-2.556791	0.469850	0.000535	0.443212
-2.902947	-2.636977	0.479846	0.000528	0.442989
-3.201207	-2.610318	0.489843	0.000583	0.442696
-3.148485	-2.714240	0.499840	0.000574	0.442409
-3.446218	-2.676175	0.509837	0.000629	0.442156
-3.523058	-2.718949	0.519834	0.000644	0.441911
-3.771002	-2.699557	0.529830	0.000690	0.441657
-3.788895	-2.768653	0.539827	0.000694	0.441398
-3.888329	-2.811130	0.549824	0.000712	0.441124
-4.201466	-2.777043	0.559821	0.000771	0.440836
-4.302184	-2.808074	0.569818	0.000790	0.440599
-4.443640	-2.830692	0.579814	0.000817	0.440339
-4.705674	-2.806820	0.589811	0.000866	0.440081
-4.648699	-2.900201	0.599808	0.000855	0.439835
-5.098161	-2.810445	0.609805	0.000939	0.439560
-5.211732	-2.851409	0.619802	0.000961	0.439272
-5.423912	-2.846943	0.629798	0.001001	0.439012
-5.521502	-2.883029	0.639795	0.001019	0.438761
-5.723462	-2.879857	0.649792	0.001057	0.438510
-5.735552	-2.944069	0.659789	0.001059	0.438273
-5.901788	-2.940507	0.669786	0.001090	0.438069
-6.009502	-2.994271	0.679782	0.001110	0.437743
-6.129612	-3.023108	0.689779	0.001133	0.437487
-6.481715	-2.964569	0.699776	0.001199	0.437231
-6.400683	-3.069338	0.709773	0.001184	0.436974
-6.821105	-2.983591	0.719770	0.001263	0.436722
-6.967441	-3.004964	0.729766	0.001290	0.436457
-7.041670	-3.061120	0.739763	0.001304	0.436166
-7.266210	-3.054829	0.749760	0.001346	0.435894
-7.427646	-3.065390	0.759757	0.001376	0.435646
-7.569654	-3.086945	0.769754	0.001403	0.435386
-7.967816	-3.012800	0.779750	0.001478	0.435121
-7.909488	-3.107452	0.789747	0.001467	0.434869
-8.272124	-3.049080	0.799744	0.001535	0.434597
-8.276889	-3.130429	0.809741	0.001536	0.434307
-8.414283	-3.154534	0.819738	0.001562	0.434043
-8.427732	-3.222867	0.829734	0.001564	0.433788
-8.575459	-3.238329	0.839731	0.001592	0.433540
-8.546141	-3.319048	0.849728	0.001586	0.433297
-9.052078	-3.192434	0.859725	0.001681	0.433073
-8.989121	-3.304973	0.869722	0.001669	0.432763
-9.350126	-3.248561	0.879718	0.001737	0.432484
-9.361202	-3.319255	0.889715	0.001739	0.432222
-9.860859	-3.204383	0.899712	0.001833	0.431965
-9.818883	-3.293966	0.909709	0.001825	0.431707
-10.235912	-3.212903	0.919706	0.001903	0.431440
-10.247774	-3.281167	0.929702	0.001905	0.431185
-10.506859	-3.270767	0.939699	0.001954	0.430879
-10.572003	-3.318464	0.949696	0.001966	0.430625
-10.931730	-3.259727	0.959693	0.002034	0.430355
-10.912926	-3.341858	0.969690	0.002030	0.430091
-11.067743	-3.357608	0.979686	0.002059	0.429831
-11.182063	-3.387560	0.989683	0.002081	0.429574
-11.418161	-3.372395	0.999680	0.002125	0.429314
-11.505507	-3.430239	1.009677	0.002141	0.428994
-11.427856	-3.532253	1.019674	0.002127	0.428738
-11.777589	-3.472223	1.029670	0.002193	0.428484
-11.902309	-3.491521	1.039667	0.002216	0.428250
-12.206390	-3.444827	1.049664	0.002273	0.428010
-12.553636	-3.391283	1.059661	0.002338	0.427736
-12.724234	-3.401617	1.069658	0.002370	0.427472
-12.869049	-3.434588	1.079654	0.002397	0.427163
-13.101386	-3.421931	1.089651	0.002441	0.426897
-13.203545	-3.459750	1.099648	0.002460	0.426627
-13.433973	-3.447751	1.109645	0.002503	0.426361
-13.377340	-3.541858	1.119642	0.002493	0.426103
-13.526306	-3.559834	1.129638	0.002521	0.425840
-13.456517	-3.656573	1.139635	0.002508	0.425590
-13.703736	-3.649730	1.149632	0.002554	0.425283
-13.761786	-3.709001	1.159629	0.002565	0.424995
-14.005244	-3.692596	1.169626	0.002610	0.424726
-14.375378	-3.625824	1.179622	0.002680	0.424467
-14.417589	-3.684994	1.189619	0.002688	0.424199
-14.625099	-3.682492	1.199616	0.002727	0.423929
-14.787728	-3.693724	1.209613	0.002757	0.423670
-14.918660	-3.717682	1.219610	0.002782	0.423409
-15.241458	-3.671628	1.229606	0.002842	0.423138
-15.199341	-3.769129	1.239603	0.002834	0.422847
-15.750166	-3.636612	1.249600	0.002938	0.422577
-15.714213	-3.725684	1.259597	0.002931	0.422307
-16.045158	-3.675569	1.269594	0.002993	0.422039
-16.176342	-3.701391	1.279590	0.003018	0.421770
-16.385991	-3.699025	1.289587	0.003057	0.421495
-16.525594	-3.720505	1.299584	0.003083	0.421229
-16.658081	-3.754678	1.309581	0.003108	0.420926
-16.634466	-3.835850	1.319578	0.003104	0.420667
-16.949718	-3.793414	1.329574	0.003163	0.420392
-16.961271	-3.865197	1.339571	0.003165	0.420118
-17.161236	-3.865149	1.349568	0.003203	0.419847
-17.378586	-3.857558	1.359565	0.003243	0.419579
-17.504465	-3.883269	1.369562	0.003267	0.419315
-17.685674	-3.892309	1.379558	0.003301	0.419036
